Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,increase rate,kind
50,00:06:23,60,383,1000.0,548.4571389806443,7.193467791096111,30.551436018889955,19.13992594829255,up trend,0,3.91,HF
74,00:09:33,77,573,779.22,1207.9298176974362,5.6312649500558685,58.04493111304696,20.066768854125424,up trend,0,2.31,HF
146,00:19:44,58,1184,1034.48,1591.096998021532,4.693250696115414,53.23392414655167,35.223273382170234,up trend,0,2.99,HF
182,00:24:03,60,1443,1000.0,1292.702164027855,14.339133393976432,50.97711608603395,31.383394835941058,up trend,0,7.23,HF
230,00:31:04,67,1864,895.52,1087.5988778521753,9.05483153456422,42.9377500641502,19.193868440579827,up trend,0,2.63,HF
302,00:39:59,61,2399,983.61,4499.440007417276,16.933446740918164,80.70365027882276,35.497895856009286,up trend,0,1.75,HF
338,00:44:04,57,2644,1052.63,4780.554590923974,16.474184472676,91.32714139100742,33.25076789047318,up trend,0,1.81,HF
470,01:00:55,56,3655,1071.43,4468.89163186743,5.2416131197640405,75.97313222717726,43.760507053175466,up trend,0,2.85,HF
494,01:04:00,60,3840,1000.0,1130.823573515271,4.976107699025668,59.26194055553836,36.6926016287441,up trend,0,4.65,HF
530,01:07:50,61,4070,983.61,266.97919066004096,2.791035488072813,28.46010538867864,17.999784012309604,up trend,0,3.57,HF
566,01:11:50,60,4310,1000.0,87.46194794748838,0.9955930961182422,18.90508503993957,16.811665107105526,up trend,0,1.8,HF
590,01:14:05,63,4445,952.38,217.08121384050384,1.4131528873570445,17.25751421667604,16.6929319638888,up trend,0,4.15,HF
638,01:19:25,63,4765,952.38,195.67253150559645,1.9789047400139048,16.73980156052378,16.365812861335208,up trend,0,3.4,HF
662,01:22:05,63,4925,952.38,46.57047538776495,0.9665600585450174,20.425834550931835,14.613385882086853,up trend,0,2.67,HF
698,01:25:45,63,5145,952.38,56.48465170532069,0.3639585500539921,18.593873580690328,16.041401918479693,up trend,0,3.59,HF
770,01:34:15,62,5655,967.74,334.69025833614086,1.615691955267234,22.066258487397757,19.090324507349752,up trend,0,2.46,HF
794,01:37:35,63,5855,952.38,126.19681785491336,0.7262293558421365,21.51500198010872,19.457718944691653,up trend,0,1.93,HF
902,01:50:15,66,6615,909.09,245.8845274756194,3.332950460435528,25.637395553673347,17.896339780832843,up trend,0,4.65,HF
950,01:56:10,61,6970,983.61,167.74038087678443,2.597367119444447,23.68282172239393,18.314085969492425,up trend,0,1.72,HF
998,02:01:25,52,7285,1153.85,1581.3774487326775,2.321414289988037,88.5215412815273,46.9910555535925,up trend,0,3.25,HF
1070,02:09:40,61,7780,983.61,1928.457936063114,6.403238573652898,66.15276979870774,27.460770237573755,up trend,0,3.14,HF
1082,02:11:05,52,7865,1153.85,1504.3714195753373,9.808474841839203,94.43008250876542,29.493958841824977,up trend,0,3.89,HF
1106,02:14:00,54,8040,1111.11,2176.9188956555317,18.154122453163662,57.023387955455306,26.655429741309312,up trend,0,2.74,HF
1118,02:15:36,57,8136,1052.63,1139.151728195774,9.964500112819607,50.11152198113028,25.644207206800232,up trend,0,2.21,HF
1178,02:21:56,57,8516,1052.63,1829.4132057056008,10.10533306713396,49.29472965164297,26.94838331450154,up trend,0,6.07,HF
1226,02:28:01,57,8881,1052.63,496.7438755580159,1.771324716604861,31.925435091085323,26.33102798399404,up trend,0,2.42,HF
1250,02:31:05,54,9065,1111.11,242.2821062292544,1.007684881205881,30.915474841798545,25.69051512420371,up trend,0,1.75,HF
1382,02:47:55,58,10075,1034.48,488.2650491348087,6.086475369168643,27.837555534249883,19.917390001950437,up trend,0,3.51,HF
1394,02:49:45,58,10185,1034.48,68.28344225910244,0.6350947371609355,26.37930599031391,19.82420886549719,up trend,0,2.02,HF
1514,03:04:46,56,11086,1071.43,1132.39760215235,4.991506893913505,74.69189180949718,40.540423867381286,up trend,0,2.75,HF
1526,03:06:16,61,11176,983.61,329.384302960118,1.4778611244368238,37.83095651522892,23.643907831638572,up trend,0,3.76,HF
1598,03:16:55,56,11815,1071.43,207.5228585607789,0.8513486797661654,24.479756097891293,20.92611696967625,up trend,0,4.62,HF
1610,03:18:25,57,11905,1052.63,471.9236348083397,2.4198959621304303,23.69633773564248,20.48615754650952,up trend,0,1.77,HF
1682,03:27:40,62,12460,967.74,271.60093811807326,1.279324986897871,24.239730668841176,19.68629653918105,up trend,0,1.74,HF
