Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,increase rate,kind
74,00:09:09,97,549,618.56,1340.079471835591,9.496780738172848,51.135931462831785,17.93695495509828,up trend,0,2.64,HF
98,00:12:24,88,744,681.82,1240.2231626209702,4.521756585846051,62.20948564589271,18.26428616123805,up trend,0,5.18,HF
110,00:14:08,95,848,631.58,201.2257554812105,1.9879161910708365,42.94672441288064,15.6326404340014,up trend,0,2.56,HF
134,00:17:18,98,1038,612.24,490.2186482242745,4.775831578973478,39.720859733384216,11.898731710839211,up trend,0,2.05,HF
182,00:23:34,83,1414,722.89,693.0032209036542,8.747710897100307,55.53500975611912,12.966409271180488,up trend,0,21.01,HF
218,00:28:09,74,1689,810.81,249.0892017730516,2.196821117590104,25.17818140001866,13.116098614189475,up trend,0,2.55,HF
278,00:35:04,81,2104,740.74,1953.2440539401496,13.830657777754451,58.72267512396115,19.72571583760961,up trend,0,1.97,HF
374,00:47:07,73,2827,821.92,186.8084604549705,1.727483718312805,37.29051230431632,14.071640752569962,up trend,0,1.76,HF
422,00:53:17,78,3197,769.23,826.5232847285903,3.965139836359513,34.89491949512748,18.664996979504124,up trend,0,1.72,HF
446,00:56:47,78,3407,769.23,313.8055629878714,6.222256051345028,27.588658037057805,16.900495705808176,up trend,0,15.68,HF
482,01:00:34,86,3634,697.67,1085.0094219482285,5.928886970784691,57.19112161722951,21.87831099140732,up trend,0,2.43,HF
518,01:04:24,81,3864,740.74,1101.1644586602613,1.419528199010447,46.41830873872147,29.40810477624514,up trend,0,10.3,HF
566,01:09:09,76,4149,789.47,6798.156302372479,5.198207384580636,94.6676485535215,40.84472428650752,up trend,0,6.17,HF
578,01:10:34,73,4234,821.92,3796.933780134376,2.6629762100164496,98.52661147287333,40.76216538078679,up trend,0,1.73,HF
626,01:16:16,80,4576,750.0,1200.8540423613374,15.126323154358191,55.25327193894661,22.27113222564684,up trend,0,2.5,HF
686,01:23:11,64,4991,937.5,1699.3806198831792,4.538244362831561,87.6049723721578,27.968865306454823,up trend,0,2.18,HF
698,01:25:01,64,5101,937.5,1279.5523356510737,8.179860487471943,41.74530484463406,23.525111854252717,up trend,0,2.5,HF
722,01:27:26,61,5246,983.61,523.013978940025,3.539799809487981,44.53124475040426,27.85538118971789,up trend,0,2.45,HF
746,01:31:02,59,5462,1016.95,1032.1083783175256,1.8900489095227828,52.031175820906846,38.77498904590695,up trend,0,1.76,HF
758,01:32:22,61,5542,983.61,1469.9057977321934,1.726247581253032,55.7133139534301,39.38435802628827,up trend,0,6.25,HF
806,01:38:33,59,5913,1016.95,165.89636326942926,1.7807862733311388,21.94421458691868,18.865664741069928,up trend,0,1.73,HF
950,02:00:03,61,7203,983.61,126.86960201831953,1.3713187231114712,16.5265484328108,16.524995723856325,up trend,0,1.8,HF
962,02:01:18,59,7278,1016.95,401.77818271826857,1.6099208729807777,75.84340102164862,40.873666189309496,up trend,0,5.98,HF
986,02:04:56,64,7496,937.5,5811.53729122363,4.636899528121316,115.32118723312358,54.60544753044333,up trend,0,3.85,HF
