Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
0,00:00:01,118,1,508.47,,,,,start,-0.13,0,BPM
12,00:01:11,112,71,535.71,,,,,stop,0.26,6,BPM
30,00:03:01,119,181,504.2,,,,,start,-0.11,0,BPM
36,00:03:41,115,221,521.74,,,,,stop,2.62,4,BPM
48,00:04:46,103,286,582.52,,,,,start,2.82,0,BPM
54,00:05:21,96,321,625.0,222.53666429444613,2.602695389578097,38.92324495355294,16.883973441807868,stop,3.36,7,BPM
66,00:06:31,114,391,526.32,906.190926897293,5.268514443323085,49.91630450942407,16.70506455038869,start,4.63,0,BPM
72,00:07:01,95,421,631.58,1811.405792542505,6.825959434884717,49.74544931458758,17.593385004551205,stop,0.56,19,BPM
84,00:08:06,118,486,508.47,2805.969662128338,7.223979541751743,48.48814215825537,21.387268194332965,start,-0.1,0,BPM
96,00:09:36,106,576,566.04,1411.397152930156,3.5534237618723226,47.03504974864108,21.76878817884702,stop,28.18,12,BPM
102,00:10:36,111,636,540.54,836.3461155537728,2.3207284614511146,47.15735606867451,22.068244384274912,start,-0.32,0,BPM
108,00:11:06,107,666,560.75,631.1033023915614,2.2998986603857148,35.4667866958738,20.822726301141373,stop,0.14,4,BPM
114,00:11:46,113,706,530.97,609.3816052521355,2.323811355289473,30.48729667602957,18.65450648623269,start,-0.16,0,BPM
120,00:12:36,105,756,571.43,543.8156806962261,1.7368239657889817,29.02177279849296,17.943550430191234,stop,0.01,8,BPM
126,00:13:11,103,791,582.52,405.6838764221397,1.5125038788113243,27.55521999067858,13.379385300543817,start,-0.05,0,BPM
132,00:13:51,108,831,555.56,333.6740162734039,2.3439787812729085,29.9634260111645,13.520052076943529,stop,0.71,-5,BPM
144,00:15:06,115,906,521.74,435.6084044555727,4.86670957895513,29.491735847625534,13.761112392743328,start,-0.11,0,BPM
168,00:18:16,77,1096,779.22,857.637538367837,7.989367196543765,66.56974867408327,17.4291796732271,stop,1.35,38,BPM
174,00:18:51,78,1131,769.23,1350.4966612488877,11.973742728989173,89.16771965303614,17.504573629745565,start,-0.44,0,BPM
180,00:19:26,63,1166,952.38,2570.0426880590794,15.171712535046307,125.1011403072061,26.530814890905827,stop,0.11,15,BPM
198,00:21:36,88,1296,681.82,3268.7587503786026,8.751991047358347,117.49704482675472,28.59701689879916,start,-0.06,0,BPM
204,00:22:26,86,1346,697.67,3712.831674596196,11.60343189030071,100.34990766415326,28.53778887506093,stop,0.95,2,BPM
210,00:23:11,124,1391,483.87,3358.635519513095,15.133603212250003,97.80960685026844,36.41406293716532,start,-0.64,0,BPM
216,00:23:41,103,1421,582.52,2410.716770279498,16.353694662023553,125.87851062992507,34.56044314837767,stop,0.81,21,BPM
228,00:25:01,124,1501,483.87,1450.4135857692456,2.849213776941624,151.38304443391812,31.716917812268647,start,-0.34,0,BPM
246,00:26:41,97,1601,618.56,2255.2234915405147,1.959913436800881,82.80415268498041,29.008070235289868,stop,0.17,27,BPM
258,00:27:46,120,1666,500.0,842.6974413986889,8.391737508365642,45.71178436237023,21.90665158515717,start,5.48,0,BPM
288,00:31:31,91,1891,659.34,1508.123995695882,58.25290361740748,47.54814630820993,12.241719817151198,stop,0.05,29,BPM
300,00:33:11,104,1991,576.92,645.8239237581656,9.491792999310018,53.43663267261283,11.2652862133808,start,6.66,0,BPM
306,00:34:01,102,2041,588.24,599.0373620170985,9.698449892441918,52.50139472938419,10.561779669919188,stop,2.99,2,BPM
312,00:34:31,101,2071,594.06,660.5311867644235,16.161559714741166,41.26730203174895,10.337531284655167,start,-0.45,0,BPM
330,00:36:56,89,2216,674.16,582.911817021818,7.239980732243122,32.597909927365784,13.1216814657953,stop,0.14,12,BPM
336,00:37:36,98,2256,612.24,468.6654722986609,2.796638120406736,37.667673589876365,14.50597069190083,start,-0.07,0,BPM
354,00:39:46,81,2386,740.74,662.6470999423258,4.022004705659465,42.06005720686668,16.491504986952954,stop,0.1,17,BPM
372,00:41:41,98,2501,612.24,923.924081315528,8.616965555943722,35.16628793173882,16.260886588776806,start,-0.33,0,BPM
384,00:43:16,97,2596,618.56,610.3072466931745,4.2211047806415305,35.94926183511695,16.989316270731404,stop,0.0,1,BPM
414,00:47:21,109,2841,550.46,351.39916003578026,2.7580502781698084,41.10780431440022,15.025698530402195,start,-0.02,0,BPM
426,00:48:46,101,2926,594.06,160.9993020286682,3.0668429855137718,40.6574306409853,12.94337108724156,stop,5.86,8,BPM
432,00:49:36,111,2976,540.54,260.9118485044612,4.493733313766341,30.63471065138167,12.63039151396022,start,-0.3,0,BPM
438,00:50:21,106,3021,566.04,262.42696091280254,4.713404784991057,26.50038770913915,12.435494459368288,stop,0.06,5,BPM
456,00:52:41,107,3161,560.75,171.9234687612947,0.8513648410288699,18.35948974547728,13.555857157159265,start,-0.22,0,BPM
468,00:54:11,91,3251,659.34,118.33598737755014,0.6567519956573329,23.165491687033988,14.454726929701748,stop,0.03,16,BPM
486,00:56:41,92,3401,652.17,630.4464917735993,8.845277067913726,41.31795988651513,13.21476748156535,start,-0.08,0,BPM
492,00:57:21,93,3441,645.16,563.7216948291041,8.443339207076868,41.35906732704771,13.63500581860784,stop,0.35,-1,BPM
504,00:58:26,99,3506,606.06,169.9259185598264,4.7263942138378425,36.02193568720401,14.218373712222094,start,-0.06,0,BPM
510,00:59:11,98,3551,612.24,230.03721874022892,5.796391617531143,29.722741533810684,14.132305298896732,stop,0.16,1,BPM
528,01:01:56,104,3716,576.92,224.8405499481146,2.589989410569633,35.85248319695242,12.478057966376218,start,0.87,0,BPM
534,01:02:51,99,3771,606.06,106.09931234398152,0.9817585671249636,31.56925533308816,13.015533341483374,stop,0.07,5,BPM
558,01:05:46,122,3946,491.8,364.20681644929823,3.888747816528817,43.95297918392854,13.119250460794664,start,-0.07,0,BPM
582,01:08:41,108,4121,555.56,1367.995314142077,8.642844233744626,50.95874121406892,19.76056725823797,stop,0.09,14,BPM
588,01:09:16,109,4156,550.46,1481.3063944197895,5.691259316723992,45.06098779907704,19.713820957254665,start,2.26,0,BPM
594,01:09:56,105,4196,571.43,1644.6801303529185,4.302783835082126,41.3390841283576,18.37211573920362,stop,0.04,4,BPM
600,01:10:36,105,4236,571.43,1215.5414361259009,3.1194192073650564,41.331777530572445,17.7841360745572,start,-0.05,0,BPM
606,01:11:31,105,4291,571.43,541.5217305904686,1.9251537783033204,38.78207125432458,17.73018376460126,stop,1.89,0,BPM
612,01:12:26,103,4346,582.52,198.85267812716123,1.391495173039164,33.31315222342706,17.48910553015498,start,4.52,0,BPM
618,01:13:06,97,4386,618.56,96.0356964539007,1.348400926422868,25.199279212237908,17.181796667831144,stop,0.3,6,BPM
630,01:14:16,106,4456,566.04,105.19198926453062,3.184070999058545,20.92254834929461,9.87870860353058,start,-0.08,0,BPM
