Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
0,00:00:14,69,14,869.57,,,,,start,-0.04,0,BPM
6,00:01:05,68,65,882.35,,,,,stop,0.04,1,BPM
18,00:02:30,70,150,857.14,,,,,start,-0.12,0,BPM
24,00:03:25,67,205,895.52,,,,,stop,0.01,3,BPM
42,00:06:15,73,375,821.92,,,,,start,-0.06,0,BPM
54,00:07:30,63,450,952.38,459.0035090978887,5.889705513867314,35.711838487583734,17.415398944846586,stop,0.31,10,BPM
114,00:14:35,69,875,869.57,745.2481098502824,10.291156474383603,60.66874851929911,20.92185221245958,start,-0.07,0,BPM
120,00:15:40,67,940,895.52,645.3234380838704,3.941487828177844,66.68737175195672,20.78708056383452,stop,0.09,2,BPM
126,00:16:30,71,990,845.07,1092.5013395158833,3.3536749271267787,75.48084482536626,21.38146269409031,start,-0.06,0,BPM
138,00:17:45,66,1065,909.09,2625.153565012766,6.6848682611694255,83.27935160233973,25.498242916654767,stop,1.43,5,BPM
150,00:19:55,70,1195,857.14,1145.6457201365463,4.013569606741245,74.81408943589739,25.207307573440705,start,-0.1,0,BPM
156,00:20:40,65,1240,923.08,871.1997292984319,2.9613561276081546,62.43115086008176,25.342108259188077,stop,3.98,5,BPM
168,00:22:16,72,1336,833.33,592.6381799655064,4.359182568430727,32.6582604483185,19.470558360179176,start,-0.13,0,BPM
174,00:22:56,69,1376,869.57,537.5765387710832,9.029153415501304,34.77799760463152,19.745637131130668,stop,0.01,3,BPM
180,00:23:46,69,1426,869.57,607.1995872270505,15.147356897687157,32.69299493151151,18.583897462533518,start,11.33,0,BPM
186,00:24:51,64,1491,937.5,746.0075522301764,15.606396217281144,28.754171534096496,16.401562145610605,stop,0.11,5,BPM
192,00:25:41,68,1541,882.35,848.0770094273005,14.31586475639875,32.95725908704503,17.175693432812526,start,-0.02,0,BPM
198,00:26:31,66,1591,909.09,826.7831138803256,13.77586713088432,33.61303278825774,18.056962080921497,stop,0.03,2,BPM
