,time,value,RRI,hf,lf/hf,sdnn,rmssd
107,00:13:36,86,697.67,,,,
108,00:13:46,86,697.67,281.180317406414,6.006262996331067,17.810391582627577,9.3044457225609
109,00:13:52,86,697.67,,,,
110,00:13:57,85,705.88,283.0598821003524,6.009907521877294,17.864186153832364,9.136504936187567
111,00:14:12,84,714.29,,,,
112,00:14:22,83,722.89,272.505662286174,5.940133404652164,17.83421383813961,9.207896566734101
113,00:14:27,82,731.71,,,,
114,00:14:37,83,722.89,251.73129552939147,5.83574642193109,18.035450158179138,8.985306145625335
115,00:14:42,85,705.88,,,,
116,00:14:52,84,714.29,223.94889147838313,5.723984909167017,17.65378623319506,9.252537324365447
117,00:14:57,82,731.71,,,,
118,00:15:07,85,705.88,188.4270903525064,5.512921545952565,17.629339645220156,9.512869049399379
119,00:15:12,87,689.66,,,,
120,00:15:17,87,689.66,156.40949570372163,5.299671076957751,17.701400036870155,10.397323438937436
121,00:15:22,88,681.82,,,,
122,00:15:27,92,652.17,129.6324078199489,5.16041554910797,18.446618052961284,10.325093071676193
123,00:15:32,91,659.34,,,,
124,00:15:37,89,674.16,105.85690985121332,4.736688842164608,21.7424412913114,11.142466201933253
125,00:15:42,87,689.66,,,,
126,00:15:47,86,697.67,90.75625700058639,4.353224660200646,22.591306848937663,11.490453446586152
127,00:15:52,85,705.88,,,,
128,00:15:57,84,714.29,86.09068119215013,4.112564096133133,22.597226079538977,11.478792868341428
129,00:16:02,82,731.71,,,,
130,00:16:17,82,731.71,92.94017340071059,3.924565674070143,22.596550847509494,11.140866397261615
131,00:16:27,79,759.49,,,,
132,00:16:32,77,779.22,112.67129397948817,3.961640649039766,23.258620368125275,11.685044427185822
133,00:16:37,76,789.47,,,,
134,00:16:52,76,789.47,149.0729117941144,4.185362008593433,25.958230247685172,11.319353662949979
135,00:17:02,77,779.22,,,,
136,00:17:07,77,779.22,201.56463792146855,4.766776762769424,28.496758283950097,11.255398160665058
137,00:17:12,77,779.22,,,,
138,00:17:17,76,789.47,279.9489028791579,5.683291115648091,31.067863482829907,11.110008449821375
139,00:17:22,77,779.22,,,,
140,00:17:37,77,779.22,370.73789454688375,6.6690858342755375,33.996605653494065,11.16699500989504
141,00:17:42,81,740.74,,,,
142,00:17:47,84,714.29,480.45215513162265,7.974711931924488,35.23608970000701,12.385918189127338
143,00:17:57,83,722.89,,,,
144,00:18:07,83,722.89,618.5392942682773,9.700494997055051,35.19064209098082,12.952008669369741
145,00:18:22,84,714.29,,,,
146,00:18:32,86,697.67,749.4958555660081,11.392104187141193,35.009376370291655,12.95717262557615
147,00:18:37,90,666.67,,,,
148,00:18:42,94,638.3,880.1214672232452,13.226432187419292,35.56044288193252,13.802862761331927
149,00:18:47,95,631.58,,,,
150,00:19:02,95,631.58,999.8076619973558,14.682780568960206,39.1840383064329,14.36978349005373
151,00:19:07,98,612.24,,,,
152,00:19:12,106,566.04,1110.7806468928832,16.047073558610638,43.47053504034518,14.632978409840476
153,00:19:17,102,588.24,,,,
154,00:19:22,98,612.24,1216.1136618113833,17.11087297034054,51.19011459734973,16.320735965298258
155,00:19:27,94,638.3,,,,
156,00:19:32,92,652.17,1322.6147742490862,17.982602888071295,53.82509021538077,17.00676342049882
157,00:19:37,90,666.67,,,,
158,00:19:42,88,681.82,1413.0827365624323,18.308769786866176,54.593395372760355,17.246648299047
159,00:19:47,87,689.66,,,,
160,00:19:52,87,689.66,1515.3652657066314,17.677009614646316,54.704512415078064,17.378429627746318
161,00:19:57,86,697.67,,,,
162,00:20:02,86,697.67,1631.5157347242523,16.82033700974869,54.71724743531933,17.33108155179885
163,00:20:07,87,689.66,,,,
164,00:20:17,88,681.82,1765.3739120366508,16.163106175982286,54.501810261641026,17.277169257462887
165,00:20:22,89,674.16,,,,
166,00:20:32,88,681.82,1903.8450936064285,15.744886130219909,54.599386490161606,17.13487987011481
167,00:20:37,88,681.82,,,,
