,time,value,RRI,ratio,sdnn,rmssd
100,11:21:57,106,566.04,6.3094613351193605,110.33954343504666,18.340562954690064
200,11:34:42,69,869.57,4.257728454758331,108.57504387921628,15.848354182785997
300,11:46:52,99,606.06,3.4707560971249922,90.80536747785276,22.193409636942476
400,11:57:22,82,731.71,22.27951306702077,60.16709463257515,11.57612441906429
500,12:09:19,86,697.67,2.491875780387321,41.05639753479784,26.53168277567578
600,12:21:46,83,722.89,3.090187812743752,23.968800228714848,18.2688276757559
700,12:32:43,97,618.56,3.1538720683135515,51.31962873683782,17.825273653105047
800,12:43:33,107,560.75,2.5981055265597104,76.43343915433609,24.932754530633968
900,12:55:45,109,550.46,1.843982923467013,46.55622147826574,12.005634956430693
1000,13:08:15,98,612.24,5.996583394121187,51.06928688427797,11.274962608283094
1100,13:20:33,90,666.67,1.83756054549757,29.103788853277543,14.186993545448098
1200,13:36:26,77,779.22,1.5995305218029363,26.66167502599789,9.19286273434588
1300,13:47:32,70,857.14,1.7181280780618624,32.313831535818416,18.23032940187891
1400,13:59:58,70,857.14,2.6189675102966965,18.56565304316529,15.70576960832864
1500,14:13:05,72,833.33,1.3533367578445679,17.92690367869061,14.759868912122178
1600,14:26:27,71,845.07,1.227996923677704,17.07121839722217,15.524122935911487
1700,14:37:49,70,857.14,4.7551238233576285,66.32341642171706,28.007984251248473
1800,14:48:54,74,810.81,6.065114838297572,31.93099967179865,19.66171956268364
1900,15:00:54,65,923.08,3.60805640485015,59.605533223845846,30.327459887572566
2000,15:13:48,68,882.35,2.6678975193795917,21.28576740406129,15.259153768717773
2100,15:27:59,65,923.08,2.0362123895531394,18.246113059437562,16.25184002014554
2200,15:38:56,65,923.08,10.869689322317642,96.70510411205417,33.29799557166932
2300,15:49:26,64,937.5,2.9583582782613616,51.059444838958306,32.60690008776261
2400,16:03:46,65,923.08,5.552398056642026,48.548851950349665,28.773234599066704
2500,16:15:29,67,895.52,1.521284566182062,90.44168713015861,36.48339313643229
2600,16:30:04,65,923.08,2.334419281665614,19.190434726970125,15.436505564421111
2700,16:41:26,70,857.14,5.713320586365957,94.85068768109043,39.24037039436388
2800,16:52:46,66,909.09,1.8365490096150086,49.26537939629215,24.0538508015627
2900,17:02:54,68,882.35,1.0988913495847663,39.057589417048085,23.018391724352885
3000,17:14:08,71,845.07,2.375550027855042,41.66650539350608,27.40380309815454
3100,17:25:04,61,983.61,3.2572336491479534,50.81515509434785,29.97691648956281
3200,17:38:49,57,1052.63,3.8486741608966484,34.90914295508538,19.847938421809957
3300,17:50:20,59,1016.95,2.767705281367968,33.58307269904124,26.390852620182653
3400,18:01:56,59,1016.95,1.7427726756970932,29.150839668416722,24.99151613623869
3500,18:14:29,77,779.22,3.8658588837132943,78.38481445620278,32.61863715575791
3600,18:25:02,58,1034.48,8.067109458378285,106.51397751928991,40.89323575242033
3700,18:34:47,57,1052.63,1.9087845785450828,54.870012939213815,45.07029509555044
3800,18:45:33,70,857.14,2.470031205608249,101.57044221936009,44.622529221699374
3900,18:58:35,64,937.5,2.6952587664679957,52.992749444493526,32.239678044360815
4000,19:13:56,59,1016.95,6.5734314674189935,84.9979139429702,25.93703447921057
4100,19:25:46,55,1090.91,6.9640369585997535,97.87602869570478,38.63613590901395
4200,19:36:38,56,1071.43,2.9693128170653313,41.88035877667032,31.235028284270715
4300,19:47:20,56,1071.43,7.668982764595384,89.14209111346226,44.21085471631908
4400,19:58:30,55,1090.91,2.5113985214888346,32.229946407248924,29.365911454534352
4500,20:11:06,78,769.23,2.632297851910209,81.75313687930306,29.01213086579021
4600,20:23:18,67,895.52,2.235315030572983,59.787153388187214,30.841022022526086
4700,20:34:37,63,952.38,11.671553800137453,81.2117302754555,29.483525480299587
4800,20:45:02,55,1090.91,2.9088404258072025,77.89138686807627,39.57392505734608
4900,20:55:38,99,606.06,7.974118136508345,134.47473339977068,46.748662715168265
5000,21:07:04,63,952.38,18.44720748803646,115.0020184003373,28.98682093432786
5100,21:19:14,65,923.08,2.7758199422462733,52.48131954901726,28.862648226146238
5200,21:31:59,84,714.29,4.266041383877942,77.6430759659517,25.522674035041664
5300,21:43:14,70,857.14,6.132563334511438,91.58228959898263,20.83670503624977
5400,21:56:29,71,845.07,5.437222002561177,45.46523369853747,27.228159109364128
5500,22:08:25,117,512.82,7.423363542169068,107.25870180346982,21.008333964396037
5600,22:20:05,93,645.16,3.796009464096383,80.30994637941585,19.608083470184877
5700,22:31:55,98,612.24,20.245674487059887,43.75087420529187,14.582638425001964
5800,22:42:50,88,681.82,2.0678523365795285,31.169758068040927,16.161004694240788
5900,22:56:10,100,600.0,2.3446618080470154,34.44084583174549,11.626603419344237
6000,23:08:30,109,550.46,1.301143518084829,21.71318616147404,12.491461689951057
6100,23:20:25,99,606.06,1.4722742187418598,25.722936801362106,15.752316295925135
6200,23:32:50,93,645.16,2.5564205534201028,31.97829454694721,12.617994606069061
6300,23:46:01,85,705.88,2.4720186086378964,21.28084051845033,9.779894186699083
