,time,value,RRI,ratio,sdnn,rmssd,hf
171,00:22:41,73,821.92,,,,
172,00:22:46,69,869.57,,,,
173,00:22:51,68,882.35,,,,
174,00:22:56,69,869.57,,,,
175,00:23:01,65,923.08,,,,
176,00:23:06,66,909.09,,,,
177,00:23:21,66,909.09,,,,
178,00:23:26,67,895.52,,,,
179,00:23:31,68,882.35,,,,
180,00:23:46,69,869.57,,,,
181,00:24:01,69,869.57,,,,
182,00:24:16,69,869.57,,,,
183,00:24:21,68,882.35,,,,
184,00:24:26,66,909.09,,,,
185,00:24:41,65,923.08,,,,
186,00:24:51,64,937.5,,,,
187,00:24:56,63,952.38,,,,
188,00:25:11,63,952.38,,,,
189,00:25:16,64,937.5,,,,
190,00:25:26,67,895.52,,,,
191,00:25:31,68,882.35,,,,
192,00:25:41,68,882.35,,,,
193,00:25:46,70,857.14,,,,
194,00:25:51,71,845.07,,,,
195,00:26:06,70,857.14,,,,
196,00:26:21,70,857.14,,,,
197,00:26:26,67,895.52,,,,
198,00:26:31,66,909.09,,,,
199,00:26:41,67,895.52,,,,
200,00:26:46,66,909.09,14.136920341311422,33.77914221129087,18.17737155737028,803.693755883822
201,00:27:01,66,909.09,,,,
202,00:27:06,67,895.52,,,,
203,00:27:11,68,882.35,,,,
204,00:27:16,69,869.57,,,,
205,00:27:21,68,882.35,,,,
206,00:27:26,67,895.52,,,,
207,00:27:41,67,895.52,,,,
208,00:27:56,67,895.52,,,,
209,00:28:01,68,882.35,,,,
210,00:28:06,69,869.57,,,,
211,00:28:16,87,689.66,,,,
212,00:28:21,95,631.58,,,,
213,00:28:26,96,625.0,,,,
214,00:28:41,96,625.0,,,,
215,00:28:46,97,618.56,,,,
216,00:28:56,90,666.67,,,,
217,00:29:01,88,681.82,,,,
218,00:29:06,87,689.66,,,,
219,00:29:11,86,697.67,,,,
220,00:29:26,84,714.29,,,,
221,00:29:31,78,769.23,,,,
222,00:29:36,75,800.0,,,,
223,00:29:41,72,833.33,,,,
224,00:29:46,72,833.33,,,,
225,00:29:51,72,833.33,,,,
226,00:30:06,72,833.33,,,,
227,00:30:21,70,857.14,,,,
228,00:30:36,70,857.14,,,,
229,00:30:51,70,857.14,,,,
230,00:30:56,71,845.07,,,,
231,00:31:01,72,833.33,,,,
232,00:31:11,69,869.57,,,,
233,00:31:26,69,869.57,,,,
234,00:31:41,68,882.35,,,,
235,00:31:46,66,909.09,,,,
236,00:31:51,64,937.5,,,,
237,00:31:56,62,967.74,,,,
238,00:32:11,62,967.74,,,,
239,00:32:16,61,983.61,,,,
240,00:32:21,62,967.74,,,,
241,00:32:36,62,967.74,,,,
242,00:32:46,62,967.74,,,,
243,00:32:51,61,983.61,,,,
244,00:32:56,60,1000.0,,,,
245,00:33:11,60,1000.0,,,,
246,00:33:26,60,1000.0,,,,
247,00:33:36,62,967.74,,,,
248,00:33:41,63,952.38,,,,
249,00:33:46,64,937.5,,,,
250,00:33:51,65,923.08,11.405191998059708,111.00800153638494,32.67906204159428,2465.2390488214164
251,00:34:06,65,923.08,,,,
252,00:34:21,64,937.5,,,,
253,00:34:26,63,952.38,,,,
254,00:34:41,63,952.38,,,,
255,00:34:56,63,952.38,,,,
256,00:35:11,66,909.09,,,,
257,00:35:16,69,869.57,,,,
258,00:35:26,68,882.35,,,,
259,00:35:31,65,923.08,,,,
260,00:35:46,65,923.08,,,,
261,00:35:56,63,952.38,,,,
262,00:36:01,62,967.74,,,,
263,00:36:07,59,1016.95,,,,
264,00:36:17,60,1000.0,,,,
265,00:36:22,61,983.61,,,,
266,00:36:37,61,983.61,,,,
267,00:36:42,63,952.38,,,,
268,00:36:47,64,937.5,,,,
269,00:37:02,64,937.5,,,,
270,00:37:12,65,923.08,,,,
271,00:37:22,64,937.5,,,,
272,00:37:32,65,923.08,,,,
273,00:37:42,64,937.5,,,,
274,00:37:52,63,952.38,,,,
275,00:38:02,64,937.5,,,,
276,00:38:17,63,952.38,,,,
277,00:38:32,65,923.08,,,,
278,00:38:37,64,937.5,,,,
279,00:38:52,64,937.5,,,,
280,00:39:07,64,937.5,,,,
281,00:39:22,64,937.5,,,,
282,00:39:37,64,937.5,,,,
283,00:39:47,65,923.08,,,,
284,00:40:02,65,923.08,,,,
285,00:40:17,65,923.08,,,,
286,00:40:22,64,937.5,,,,
287,00:40:37,64,937.5,,,,
288,00:40:52,64,937.5,,,,
289,00:40:57,62,967.74,,,,
290,00:41:02,62,967.74,,,,
291,00:41:07,63,952.38,,,,
292,00:41:12,61,983.61,,,,
293,00:41:22,62,967.74,,,,
294,00:41:37,62,967.74,,,,
295,00:41:47,63,952.38,,,,
296,00:42:02,64,937.5,,,,
297,00:42:12,65,923.08,,,,
298,00:42:27,65,923.08,,,,
299,00:42:42,65,923.08,,,,
300,00:42:57,65,923.08,10.64246362848936,26.070032467512245,18.613851327022292,300.5136432226774
301,00:43:02,61,983.61,,,,
302,00:43:07,60,1000.0,,,,
303,00:43:12,59,1016.95,,,,
304,00:43:27,59,1016.95,,,,
305,00:43:32,60,1000.0,,,,
306,00:43:37,62,967.74,,,,
307,00:43:42,64,937.5,,,,
308,00:43:47,65,923.08,,,,
309,00:44:02,65,923.08,,,,
310,00:44:17,65,923.08,,,,
311,00:44:32,66,909.09,,,,
312,00:44:47,67,895.52,,,,
313,00:44:52,66,909.09,,,,
314,00:45:07,66,909.09,,,,
315,00:45:17,66,909.09,,,,
316,00:45:32,66,909.09,,,,
317,00:45:37,64,937.5,,,,
318,00:45:42,61,983.61,,,,
319,00:45:47,62,967.74,,,,
320,00:45:52,64,937.5,,,,
321,00:46:02,65,923.08,,,,
322,00:46:07,66,909.09,,,,
323,00:46:12,68,882.35,,,,
324,00:46:17,66,909.09,,,,
325,00:46:27,65,923.08,,,,
326,00:46:42,65,923.08,,,,
327,00:46:57,64,937.5,,,,
328,00:47:02,62,967.74,,,,
329,00:47:12,62,967.74,,,,
330,00:47:17,63,952.38,,,,
331,00:47:32,63,952.38,,,,
332,00:47:47,63,952.38,,,,
333,00:48:02,63,952.38,,,,
334,00:48:17,63,952.38,,,,
335,00:48:32,63,952.38,,,,
336,00:48:37,64,937.5,,,,
337,00:48:52,64,937.5,,,,
338,00:49:07,64,937.5,,,,
339,00:49:22,64,937.5,,,,
340,00:49:32,63,952.38,,,,
341,00:49:47,63,952.38,,,,
342,00:50:02,63,952.38,,,,
343,00:50:17,63,952.38,,,,
344,00:50:22,64,937.5,,,,
345,00:50:27,65,923.08,,,,
346,00:50:37,65,923.08,,,,
347,00:50:52,62,967.74,,,,
348,00:50:57,61,983.61,,,,
349,00:51:02,60,1000.0,,,,
350,00:51:17,61,983.61,5.2927896592579735,31.055069075854945,19.22410466055571,450.681840844334
351,00:51:22,62,967.74,,,,
352,00:51:27,63,952.38,,,,
353,00:51:42,63,952.38,,,,
354,00:51:57,64,937.5,,,,
355,00:52:12,64,937.5,,,,
356,00:52:17,66,909.09,,,,
357,00:52:22,68,882.35,,,,
358,00:52:27,69,869.57,,,,
359,00:52:32,72,833.33,,,,
360,00:52:37,76,789.47,,,,
361,00:52:42,75,800.0,,,,
362,00:52:47,73,821.92,,,,
363,00:52:52,71,845.07,,,,
364,00:52:57,70,857.14,,,,
365,00:53:12,70,857.14,,,,
366,00:53:22,69,869.57,,,,
367,00:53:32,68,882.35,,,,
368,00:53:37,67,895.52,,,,
369,00:53:43,65,923.08,,,,
370,00:53:53,64,937.5,,,,
371,00:53:58,63,952.38,,,,
372,00:54:13,63,952.38,,,,
373,00:54:18,61,983.61,,,,
374,00:54:23,57,1052.63,,,,
375,00:54:33,58,1034.48,,,,
376,00:54:48,57,1052.63,,,,
377,00:54:53,58,1034.48,,,,
378,00:55:03,57,1052.63,,,,
379,00:55:13,56,1071.43,,,,
380,00:55:18,57,1052.63,,,,
381,00:55:23,58,1034.48,,,,
382,00:55:33,59,1016.95,,,,
383,00:55:38,60,1000.0,,,,
384,00:55:43,61,983.61,,,,
385,00:55:48,63,952.38,,,,
386,00:55:53,64,937.5,,,,
387,00:55:58,67,895.52,,,,
388,00:56:13,67,895.52,,,,
389,00:56:18,66,909.09,,,,
390,00:56:33,66,909.09,,,,
391,00:56:48,65,923.08,,,,
392,00:56:58,65,923.08,,,,
393,00:57:08,67,895.52,,,,
394,00:57:13,69,869.57,,,,
395,00:57:23,70,857.14,,,,
396,00:57:28,70,857.14,,,,
397,00:57:38,69,869.57,,,,
398,00:57:48,68,882.35,,,,
399,00:57:53,67,895.52,,,,
400,00:58:08,67,895.52,13.785017290940576,71.86029913545265,21.645964274842456,1779.1888001721495
401,00:58:13,68,882.35,,,,
402,00:58:18,69,869.57,,,,
403,00:58:23,70,857.14,,,,
404,00:58:28,67,895.52,,,,
405,00:58:38,66,909.09,,,,
406,00:58:48,67,895.52,,,,
407,00:59:03,62,967.74,,,,
408,00:59:08,59,1016.95,,,,
409,00:59:18,60,1000.0,,,,
410,00:59:23,64,937.5,,,,
411,00:59:28,64,937.5,,,,
412,00:59:33,65,923.08,,,,
413,00:59:38,66,909.09,,,,
414,00:59:43,67,895.52,,,,
415,00:59:48,66,909.09,,,,
416,00:59:58,65,923.08,,,,
417,01:00:13,65,923.08,,,,
418,01:00:23,66,909.09,,,,
419,01:00:33,65,923.08,,,,
420,01:00:38,65,923.08,,,,
