,time,value,RRI,ratio,sdnn,rmssd
0,16:54:57,70,857.14,,,
1,17:00:35,70,857.14,,,
2,17:01:22,70,857.14,,,
3,17:01:32,68,882.35,,,
4,17:02:15,70,857.14,,,
5,17:02:25,70,857.14,,,
6,17:02:35,70,857.14,,,
7,17:03:04,70,857.14,,,
8,18:50:22,70,857.14,,,
9,18:50:27,70,857.14,,,
10,18:50:42,70,857.14,,,
11,18:50:57,70,857.14,,,
12,18:51:12,70,857.14,,,
13,18:51:17,70,857.14,,,
14,18:51:22,70,857.14,,,
15,18:51:27,67,895.52,,,
16,18:51:32,72,833.33,,,
17,18:51:37,77,779.22,,,
18,18:51:42,81,740.74,,,
19,18:51:47,86,697.67,,,
20,18:51:57,84,714.29,,,
21,18:52:07,87,689.66,,,
22,18:52:17,86,697.67,,,
23,18:52:22,86,697.67,,,
24,18:52:32,87,689.66,,,
25,18:52:47,87,689.66,,,
26,18:52:57,89,674.16,,,
27,18:53:02,90,666.67,,,
28,18:53:07,91,659.34,,,
29,18:53:12,88,681.82,,,
30,18:53:27,88,681.82,,,
31,18:53:32,87,689.66,,,
32,18:53:37,86,697.67,,,
33,18:53:42,85,705.88,,,
34,18:53:57,85,705.88,,,
35,18:54:02,86,697.67,,,
36,18:54:07,85,705.88,,,
37,18:54:13,85,705.88,,,
38,18:54:18,86,697.67,,,
39,18:54:23,87,689.66,,,
40,18:54:33,88,681.82,,,
41,18:54:38,87,689.66,,,
42,18:54:43,84,714.29,,,
43,18:54:48,82,731.71,,,
44,18:54:53,80,750.0,,,
45,18:54:58,79,759.49,,,
46,18:55:03,76,789.47,,,
47,18:55:18,76,789.47,,,
48,18:55:23,77,779.22,,,
49,18:55:33,78,769.23,,,
50,18:55:38,79,759.49,,,
51,18:55:53,79,759.49,,,
52,18:56:03,78,769.23,,,
53,18:56:08,77,779.22,,,
54,18:56:13,76,789.47,,,
55,18:56:28,76,789.47,,,
56,18:56:38,73,821.92,,,
57,18:56:43,72,833.33,,,
58,18:56:48,71,845.07,,,
59,18:56:53,70,857.14,,,
60,18:57:08,70,857.14,,,
61,18:57:23,70,857.14,,,
62,18:57:29,71,845.07,,,
63,18:57:34,71,845.07,,,
64,18:57:39,72,833.33,,,
65,18:57:54,72,833.33,,,
66,18:57:59,74,810.81,,,
67,18:58:04,74,810.81,,,
68,18:58:09,75,800.0,,,
69,18:58:14,71,845.07,,,
70,18:58:19,71,845.07,,,
71,18:58:24,72,833.33,,,
72,18:58:29,71,845.07,,,
73,18:58:34,73,821.92,,,
74,18:58:39,74,810.81,,,
75,18:58:44,75,800.0,,,
76,18:58:49,76,789.47,,,
77,18:59:04,76,789.47,,,
78,18:59:14,78,769.23,,,
79,18:59:19,77,779.22,,,
80,18:59:29,80,750.0,,,
81,18:59:34,82,731.71,,,
82,18:59:39,83,722.89,,,
83,18:59:44,81,740.74,,,
84,18:59:54,82,731.71,,,
85,18:59:59,81,740.74,,,
86,19:00:04,87,689.66,,,
87,19:00:10,90,666.67,,,
88,19:00:15,93,645.16,,,
89,19:00:25,83,722.89,,,
90,19:00:30,80,750.0,,,
91,19:00:40,81,740.74,,,
92,19:00:45,89,674.16,,,
93,19:00:50,90,666.67,,,
94,19:00:55,89,674.16,,,
95,19:01:00,90,666.67,,,
96,19:01:05,92,652.17,,,
97,19:01:15,91,659.34,,,
98,19:01:20,92,652.17,,,
99,19:01:25,93,645.16,,,
100,19:01:30,92,652.17,7.932150039929371,72.01042686817914,20.451772094813254
101,19:01:45,93,645.16,,,
102,19:01:50,91,659.34,,,
103,19:01:55,83,722.89,,,
104,19:02:00,84,714.29,,,
105,19:02:05,85,705.88,,,
106,19:02:10,87,689.66,,,
107,19:02:15,89,674.16,,,
108,19:02:20,91,659.34,,,
109,19:02:25,92,652.17,,,
110,19:02:40,94,638.3,,,
111,19:02:45,95,631.58,,,
112,19:02:50,95,631.58,,,
113,19:02:55,96,625.0,,,
114,19:03:00,95,631.58,,,
115,19:03:05,96,625.0,,,
116,19:03:15,95,631.58,,,
117,19:03:20,93,645.16,,,
118,19:03:30,92,652.17,,,
119,19:03:35,91,659.34,,,
120,19:03:40,89,674.16,,,
121,19:03:50,90,666.67,,,
122,19:03:55,91,659.34,,,
123,19:04:10,92,652.17,,,
124,19:04:20,93,645.16,,,
125,19:04:25,94,638.3,,,
126,19:04:35,96,625.0,,,
127,19:04:40,97,618.56,,,
128,19:04:45,96,625.0,,,
129,19:05:00,97,618.56,,,
130,19:05:05,96,625.0,,,
131,19:05:10,94,638.3,,,
132,19:05:15,95,631.58,,,
133,19:05:30,96,625.0,,,
134,19:05:35,97,618.56,,,
135,19:05:40,98,612.24,,,
136,19:05:45,99,606.06,,,
137,19:05:50,100,600.0,,,
138,19:05:55,96,625.0,,,
139,19:06:00,94,638.3,,,
140,19:06:05,91,659.34,,,
141,19:06:10,90,666.67,,,
142,19:06:25,91,659.34,,,
143,19:06:35,92,652.17,,,
144,19:06:40,93,645.16,,,
145,19:06:45,94,638.3,,,
146,19:06:50,96,625.0,,,
147,19:06:55,97,618.56,,,
148,19:07:05,98,612.24,,,
149,19:07:15,99,606.06,,,
150,19:07:30,99,606.06,,,
151,19:07:45,100,600.0,,,
152,19:07:50,101,594.06,,,
153,19:07:55,99,606.06,,,
154,19:08:00,97,618.56,,,
155,19:08:05,98,612.24,,,
156,19:08:10,97,618.56,,,
157,19:08:15,99,606.06,,,
158,19:08:20,102,588.24,,,
159,19:08:25,104,576.92,,,
160,19:08:30,105,571.43,,,
161,19:08:45,104,576.92,,,
162,19:08:50,102,588.24,,,
163,19:08:55,100,600.0,,,
164,19:09:05,99,606.06,,,
165,19:09:15,95,631.58,,,
166,19:09:20,92,652.17,,,
167,19:09:25,91,659.34,,,
168,19:09:30,90,666.67,,,
169,19:09:35,88,681.82,,,
170,19:09:40,86,697.67,,,
171,19:09:55,85,705.88,,,
172,19:10:05,86,697.67,,,
173,19:10:20,86,697.67,,,
174,19:10:35,86,697.67,,,
175,19:10:40,87,689.66,,,
176,19:10:55,85,705.88,,,
177,19:11:10,86,697.67,,,
178,19:11:15,88,681.82,,,
179,19:11:30,88,681.82,,,
180,19:11:45,87,689.66,,,
181,19:12:00,86,697.67,,,
182,19:12:05,86,697.67,,,
183,19:12:10,88,681.82,,,
184,19:12:15,90,666.67,,,
185,19:12:25,89,674.16,,,
186,19:12:30,85,705.88,,,
187,19:12:35,80,750.0,,,
188,19:12:50,80,750.0,,,
189,19:12:56,79,759.49,,,
190,19:13:06,82,731.71,,,
191,19:13:11,85,705.88,,,
192,19:13:16,86,697.67,,,
193,19:13:21,85,705.88,,,
194,19:13:26,83,722.89,,,
195,19:13:31,82,731.71,,,
196,19:13:46,83,722.89,,,
197,19:13:56,82,731.71,,,
198,19:14:01,83,722.89,,,
199,19:14:06,84,714.29,,,
200,19:14:21,83,722.89,11.721002890971782,43.95278764317528,13.763518900530219
201,19:14:26,82,731.71,,,
202,19:14:36,84,714.29,,,
203,19:14:41,85,705.88,,,
204,19:14:56,85,705.88,,,
205,19:15:06,86,697.67,,,
206,19:15:11,87,689.66,,,
207,19:15:16,88,681.82,,,
208,19:15:21,90,666.67,,,
209,19:15:26,94,638.3,,,
210,19:15:31,97,618.56,,,
211,19:15:36,98,612.24,,,
212,19:15:41,98,612.24,,,
213,19:15:46,100,600.0,,,
214,19:16:01,99,606.06,,,
215,19:16:11,100,600.0,,,
216,19:16:16,101,594.06,,,
217,19:16:21,100,600.0,,,
218,19:16:26,98,612.24,,,
219,19:16:31,93,645.16,,,
220,19:16:36,92,652.17,,,
221,19:16:41,93,645.16,,,
222,19:16:46,94,638.3,,,
223,19:17:01,94,638.3,,,
224,19:17:06,93,645.16,,,
225,19:17:16,94,638.3,,,
226,19:17:26,93,645.16,,,
227,19:17:41,93,645.16,,,
228,19:17:51,92,652.17,,,
229,19:17:56,91,659.34,,,
230,19:18:06,92,652.17,,,
231,19:18:11,93,645.16,,,
232,19:18:16,94,638.3,,,
233,19:18:26,95,631.58,,,
234,19:18:41,94,638.3,,,
235,19:18:51,95,631.58,,,
236,19:19:01,94,638.3,,,
237,19:19:11,96,625.0,,,
238,19:19:16,98,612.24,,,
239,19:19:31,99,606.06,,,
240,19:19:36,101,594.06,,,
241,19:19:41,100,600.0,,,
242,19:19:46,98,612.24,,,
243,19:19:51,95,631.58,,,
244,19:19:56,97,618.56,,,
245,19:20:01,100,600.0,,,
246,19:20:06,101,594.06,,,
247,19:20:11,100,600.0,,,
248,19:20:26,102,588.24,,,
249,19:20:31,99,606.06,,,
250,19:20:36,96,625.0,,,
251,19:20:51,96,625.0,,,
252,19:21:06,96,625.0,,,
253,19:21:21,97,618.56,,,
254,19:21:26,98,612.24,,,
255,19:21:41,98,612.24,,,
256,19:21:46,96,625.0,,,
257,19:21:51,95,631.58,,,
258,19:22:06,95,631.58,,,
259,19:22:11,96,625.0,,,
260,19:22:16,95,631.58,,,
261,19:22:26,94,638.3,,,
262,19:22:31,95,631.58,,,
263,19:22:41,96,625.0,,,
264,19:22:46,98,612.24,,,
265,19:22:51,99,606.06,,,
266,19:23:01,98,612.24,,,
267,19:23:11,97,618.56,,,
268,19:23:16,96,625.0,,,
269,19:23:21,97,618.56,,,
270,19:23:26,97,618.56,,,
271,19:23:41,97,618.56,,,
272,19:23:51,98,612.24,,,
273,19:24:06,98,612.24,,,
274,19:24:11,97,618.56,,,
275,19:24:16,94,638.3,,,
276,19:24:21,95,631.58,,,
277,19:24:26,95,631.58,,,
278,19:24:41,95,631.58,,,
279,19:24:51,96,625.0,,,
280,19:24:56,95,631.58,,,
281,19:25:06,96,625.0,,,
282,19:25:16,97,618.56,,,
283,19:25:26,96,625.0,,,
284,19:25:41,96,625.0,,,
285,19:25:46,94,638.3,,,
286,19:25:51,93,645.16,,,
287,19:26:06,93,645.16,,,
288,19:26:11,97,618.56,,,
289,19:26:26,97,618.56,,,
290,19:26:31,96,625.0,,,
291,19:26:41,97,618.56,,,
292,19:26:46,96,625.0,,,
293,19:26:56,95,631.58,,,
294,19:27:01,94,638.3,,,
295,19:27:10,91,659.34,,,
296,19:27:15,92,652.17,,,
297,19:27:20,95,631.58,,,
298,19:27:25,96,625.0,,,
299,19:27:40,97,618.56,,,
300,19:27:55,99,606.06,1.6364336688111927,27.451178129857595,10.335983286802016
301,19:28:00,101,594.06,,,
302,19:28:10,102,588.24,,,
303,19:28:20,101,594.06,,,
304,19:28:30,102,588.24,,,
305,19:28:35,100,600.0,,,
306,19:28:40,98,612.24,,,
307,19:28:50,96,625.0,,,
308,19:29:00,97,618.56,,,
309,19:29:05,99,606.06,,,
310,19:29:10,100,600.0,,,
311,19:29:20,101,594.06,,,
312,19:29:25,102,588.24,,,
313,19:29:30,103,582.52,,,
314,19:29:35,98,612.24,,,
315,19:29:40,96,625.0,,,
316,19:29:45,94,638.3,,,
317,19:29:50,95,631.58,,,
318,19:30:05,93,645.16,,,
319,19:30:10,89,674.16,,,
320,19:30:15,85,705.88,,,
321,19:30:20,82,731.71,,,
322,19:30:25,82,731.71,,,
323,19:30:40,89,674.16,,,
324,19:30:45,95,631.58,,,
325,19:30:50,100,600.0,,,
326,19:30:55,103,582.52,,,
327,19:31:05,96,625.0,,,
328,19:31:10,94,638.3,,,
329,19:31:15,95,631.58,,,
330,19:31:20,96,625.0,,,
331,19:31:25,97,618.56,,,
332,19:31:30,100,600.0,,,
333,19:31:35,101,594.06,,,
334,19:31:40,104,576.92,,,
335,19:31:55,104,576.92,,,
336,19:32:00,98,612.24,,,
337,19:32:05,95,631.58,,,
338,19:32:15,99,606.06,,,
339,19:32:25,100,600.0,,,
340,19:32:30,101,594.06,,,
341,19:32:40,100,600.0,,,
342,19:32:45,97,618.56,,,
343,19:32:50,95,631.58,,,
344,19:32:55,94,638.3,,,
345,19:33:05,95,631.58,,,
346,19:33:10,99,606.06,,,
347,19:33:15,100,600.0,,,
348,19:33:25,98,612.24,,,
349,19:33:32,97,618.56,,,
350,19:33:37,98,612.24,,,
351,19:33:52,98,612.24,,,
352,19:33:57,100,600.0,,,
353,19:34:02,101,594.06,,,
354,19:34:07,102,588.24,,,
355,19:34:12,103,582.52,,,
356,19:34:17,104,576.92,,,
357,19:34:32,104,576.92,,,
358,19:34:37,104,576.92,,,
359,19:34:52,104,576.92,,,
