,time,value,RRI,ratio,sdnn,rmssd
0,00:00:07,72,833.33,,,
1,00:00:12,70,857.14,,,
2,00:00:27,69,869.57,,,
3,00:00:42,69,869.57,,,
4,00:00:57,69,869.57,,,
5,00:01:07,66,909.09,,,
6,00:01:22,66,909.09,,,
7,00:01:32,65,923.08,,,
8,00:01:47,66,909.09,,,
9,00:01:52,70,857.14,,,
10,00:01:57,71,845.07,,,
11,00:02:07,72,833.33,,,
12,00:02:17,73,821.92,,,
13,00:02:22,73,821.92,,,
14,00:02:32,74,810.81,,,
15,00:02:37,71,845.07,,,
16,00:02:42,69,869.57,,,
17,00:02:47,68,882.35,,,
18,00:02:52,67,895.52,,,
19,00:02:57,65,923.08,,,
20,00:03:12,66,909.09,,,
21,00:03:17,65,923.08,,,
22,00:03:22,65,923.08,,,
23,00:03:27,65,923.08,,,
24,00:03:37,66,909.09,,,
25,00:03:42,66,909.09,,,
26,00:03:47,67,895.52,,,
27,00:04:02,66,909.09,,,
28,00:04:07,68,882.35,,,
29,00:04:12,66,909.09,,,
30,00:04:17,64,937.5,,,
31,00:04:22,64,937.5,,,
32,00:04:37,64,937.5,,,
33,00:04:52,64,937.5,,,
34,00:04:57,65,923.08,,,
35,00:05:12,65,923.08,,,
36,00:05:17,64,937.5,,,
37,00:05:32,64,937.5,,,
38,00:05:47,64,937.5,,,
39,00:06:02,64,937.5,,,
40,00:06:17,64,937.5,,,
41,00:06:22,62,967.74,,,
42,00:06:27,60,1000.0,,,
43,00:06:42,60,1000.0,,,
44,00:06:52,61,983.61,,,
45,00:07:07,63,952.38,,,
46,00:07:12,64,937.5,,,
47,00:07:22,65,923.08,,,
48,00:07:37,66,909.09,,,
49,00:07:52,66,909.09,,,
50,00:07:57,65,923.08,,,
51,00:08:12,65,923.08,,,
52,00:08:27,65,923.08,,,
53,00:08:42,65,923.08,,,
54,00:08:47,66,909.09,,,
55,00:08:52,67,895.52,,,
56,00:08:57,69,869.57,,,
57,00:09:02,70,857.14,,,
58,00:09:07,71,845.07,,,
59,00:09:12,72,833.33,,,
60,00:09:17,70,857.14,,,
61,00:09:27,69,869.57,,,
62,00:09:37,67,895.52,,,
63,00:09:47,66,909.09,,,
64,00:09:52,67,895.52,,,
65,00:09:57,66,909.09,,,
66,00:10:02,65,923.08,,,
67,00:10:17,65,923.08,,,
68,00:10:32,65,923.08,,,
69,00:10:42,66,909.09,,,
70,00:10:57,66,909.09,,,
71,00:11:02,67,895.52,,,
72,00:11:07,68,882.35,,,
73,00:11:12,67,895.52,,,
74,00:11:17,64,937.5,,,
75,00:11:32,64,937.5,,,
76,00:11:38,66,909.09,,,
77,00:11:48,66,909.09,,,
78,00:11:58,67,895.52,,,
79,00:12:03,66,909.09,,,
80,00:12:18,66,909.09,,,
81,00:12:33,66,909.09,,,
82,00:12:48,66,909.09,,,
83,00:12:58,68,882.35,,,
84,00:13:13,68,882.35,,,
85,00:13:18,67,895.52,,,
86,00:13:23,66,909.09,,,
87,00:13:33,64,937.5,,,
88,00:13:38,65,923.08,,,
89,00:13:43,64,937.5,,,
90,00:13:53,65,923.08,,,
91,00:14:08,65,923.08,,,
92,00:14:18,66,909.09,,,
93,00:14:28,65,923.08,,,
94,00:14:43,65,923.08,,,
95,00:14:58,65,923.08,,,
96,00:15:03,62,967.74,,,
97,00:15:13,61,983.61,,,
98,00:15:28,61,983.61,,,
99,00:15:33,60,1000.0,,,
100,00:15:43,61,983.61,7.79088805436031,38.319069796917184,17.150000883470252
101,00:15:53,62,967.74,,,
102,00:16:03,63,952.38,,,
103,00:16:08,64,937.5,,,
104,00:16:23,64,937.5,,,
105,00:16:33,65,923.08,,,
106,00:16:38,67,895.52,,,
107,00:16:43,68,882.35,,,
108,00:16:48,69,869.57,,,
109,00:16:53,72,833.33,,,
110,00:17:08,72,833.33,,,
111,00:17:13,73,821.92,,,
112,00:17:18,73,821.92,,,
113,00:17:33,71,845.07,,,
114,00:17:38,67,895.52,,,
115,00:17:43,69,869.57,,,
116,00:17:53,71,845.07,,,
117,00:17:58,72,833.33,,,
118,00:18:03,73,821.92,,,
119,00:18:08,74,810.81,,,
120,00:18:13,74,810.81,,,
121,00:18:18,75,800.0,,,
122,00:18:23,78,769.23,,,
123,00:18:28,75,800.0,,,
124,00:18:33,69,869.57,,,
125,00:18:38,65,923.08,,,
126,00:18:43,62,967.74,,,
127,00:18:48,63,952.38,,,
128,00:18:53,63,952.38,,,
129,00:19:08,63,952.38,,,
130,00:19:13,64,937.5,,,
131,00:19:18,65,923.08,,,
132,00:19:23,66,909.09,,,
133,00:19:28,68,882.35,,,
134,00:19:33,69,869.57,,,
135,00:19:48,68,882.35,,,
136,00:20:03,70,857.14,,,
137,00:20:08,69,869.57,,,
138,00:20:18,70,857.14,,,
139,00:20:23,71,845.07,,,
140,00:20:28,73,821.92,,,
141,00:20:33,74,810.81,,,
142,00:20:38,74,810.81,,,
143,00:20:48,75,800.0,,,
144,00:20:58,76,789.47,,,
145,00:21:03,75,800.0,,,
146,00:21:08,74,810.81,,,
147,00:21:18,77,779.22,,,
148,00:21:23,78,769.23,,,
149,00:21:28,78,769.23,,,
150,00:21:33,78,769.23,,,
151,00:21:38,76,789.47,,,
152,00:21:43,74,810.81,,,
153,00:21:48,74,810.81,,,
154,00:22:03,73,821.92,,,
155,00:22:08,72,833.33,,,
156,00:22:13,68,882.35,,,
157,00:22:18,66,909.09,,,
158,00:22:23,67,895.52,,,
159,00:22:28,66,909.09,,,
160,00:22:43,66,909.09,,,
161,00:22:53,67,895.52,,,
162,00:22:58,69,869.57,,,
163,00:23:08,67,895.52,,,
164,00:23:18,70,857.14,,,
165,00:23:23,72,833.33,,,
166,00:23:28,69,869.57,,,
167,00:23:43,69,869.57,,,
168,00:23:48,66,909.09,,,
169,00:23:53,63,952.38,,,
170,00:24:08,62,967.74,,,
