,time,value,RRI,ratio,sdnn,rmssd
100,00:13:37,73,821.92,2.6598509605507257,33.585348106493456,20.638993226757492
200,00:31:16,72,833.33,2.2071787038418584,16.727940781153507,12.31128996515235
300,00:47:06,75,800.0,1.5390607888322698,13.73021659837834,12.165189158937372
400,00:59:03,72,833.33,10.983520207332832,44.91201347280947,22.63850257834867
500,01:13:05,75,800.0,3.3770305995278,34.49703433308114,22.912873118521276
600,01:29:10,73,821.92,1.3724507603744198,12.52046398073688,11.106775482387391
700,01:42:32,67,895.52,3.1674456493291676,37.84681343297351,23.68334873008265
800,01:56:19,67,895.52,5.275433361037567,32.78292304529815,18.488507350254217
900,02:08:01,73,821.92,2.743392778683562,32.88569649405331,23.36159736219104
1000,02:24:59,71,845.07,1.5967906131833463,12.225472881726034,11.650527581585884
1100,02:40:39,72,833.33,2.6757820735534805,14.526895269523946,11.368401449418977
1200,02:53:32,70,857.14,1.456163500493033,39.16959299074482,21.16296278736496
1300,03:09:19,67,895.52,2.2240455791845655,34.663363738924275,19.537225617996143
1400,03:21:35,76,789.47,1.541986956182503,45.852826876493204,26.79433450593916
1500,03:33:47,71,845.07,4.538919990779829,36.06405590996066,21.35269036582009
1600,03:47:19,67,895.52,4.965379424972388,32.84381005838871,16.635193889990457
1700,04:01:37,68,882.35,3.0035016925288764,38.78057894192283,20.36415654322987
1800,04:16:14,70,857.14,3.7200324326864456,48.29581056459151,24.50209516912314
1900,04:30:36,75,800.0,1.4148219513602713,19.78006050868583,11.867417025987033
2000,04:43:43,74,810.81,4.532749610488288,40.456342911935096,21.45513060535706
2100,04:59:35,78,769.23,0.8817452837263132,21.61220700217936,17.764758667233586
2200,05:15:13,71,845.07,1.7618634850476782,22.517906998563596,13.782418349315746
2300,05:29:00,67,895.52,3.150230764650977,40.74744761306896,24.930768138988423
2400,05:42:42,61,983.61,1.8979259074986163,40.54203400736753,25.014328298037913
2500,05:58:14,66,909.09,1.121918156326177,18.669347832338662,14.002362967973244
2600,06:15:41,66,909.09,1.169388726999235,14.666351986637984,12.415560455095923
2700,06:32:09,66,909.09,1.885010139256847,25.992414273935363,18.57541467378401
2800,06:46:26,65,923.08,5.560531314444852,35.03729964515307,18.73109570913156
2900,06:59:33,71,845.07,2.092489166110719,32.50062360536138,19.081242468492825
3000,07:12:50,65,923.08,1.1244030391472848,36.88286733455226,25.051068708427263
3100,07:26:58,67,895.52,2.8598906529548747,32.10236865847828,20.895963845932194
3200,07:41:14,69,869.57,2.038254679729523,15.478086881951926,12.61937619518316
3300,07:52:37,69,869.57,1.389437401612543,21.100510560149715,15.316635440334839
3400,08:05:34,78,769.23,10.577445661253186,46.0757049278246,15.349128491694428
3500,08:17:31,74,810.81,3.459656565415005,23.9778706182146,16.008369244198054
3600,08:32:32,76,789.47,2.8292125754862183,23.942331891527218,14.940578261495741
3700,08:44:11,103,582.52,13.663914929600095,56.70446198492674,14.578467898329592
3800,08:49:53,124,483.87,6.194045894766219,31.86865447252032,10.535858107463582
3900,08:57:57,95,631.58,0.9567351638662884,49.000753707973665,10.715709274356287
4000,09:11:58,84,714.29,5.230271205990263,29.023192062990805,9.352268292891422
4100,09:25:19,90,666.67,4.27874876409032,25.625300861303533,13.98705350159803
4200,09:38:34,88,681.82,5.216515115829385,38.12284428957621,11.12311180208202
4300,09:52:05,97,618.56,5.361981503662266,28.711777981493697,9.992119824434592
4400,10:03:56,96,625.0,6.523809058716016,42.30057177479694,13.38032944891927
4500,10:14:32,88,681.82,0.5907733738568501,22.307582886824047,12.467424138388193
4600,10:28:52,90,666.67,11.531761462039546,15.045584135546145,8.25332941694723
4700,10:40:08,95,631.58,3.3940354167067284,26.098688963550675,12.212594964116997
4800,10:53:49,87,689.66,2.3642960372019397,32.208060101706714,11.34215231743602
4900,11:09:50,90,666.67,5.632553570614268,25.579677249565115,11.524986689008289
5000,11:21:16,86,697.67,7.457681987190668,56.91133066952273,13.337173651493828
5100,11:33:51,84,714.29,3.558994790715319,16.73982475168639,10.979829900616169
5200,11:46:28,75,800.0,3.4390768370081193,29.932356107926385,13.294517705058022
5300,12:00:28,90,666.67,1.8600539650397205,38.58340462379696,13.940139703370802
5400,12:13:39,83,722.89,20.46953247129824,56.589185231916204,18.08033956506014
5500,12:26:36,86,697.67,2.433208590314224,20.732755399477075,12.098413828751157
5600,12:42:32,85,705.88,1.7358862666455754,28.53344665723743,15.460043317983917
5700,12:56:02,82,731.71,4.630281126806451,30.63886277856339,12.037405631756142
5800,13:08:58,85,705.88,8.381594762924959,44.537653369668774,16.018467151977745
5900,13:19:49,89,674.16,5.060340060201388,44.55151912747372,21.074792185370786
6000,13:33:10,94,638.3,4.767062737711304,26.89032188090329,13.185418560905173
6100,13:45:55,93,645.16,2.5085957486325485,33.27848816420226,14.51676376824499
6200,13:58:16,91,659.34,3.2575610078458452,35.09549108842008,15.232624743151016
6300,14:10:42,98,612.24,12.229270157719027,34.354340875791834,12.807193370141727
6400,14:21:53,92,652.17,3.4359695838326716,52.86636266907897,21.3210382183202
6500,14:33:13,87,689.66,3.2345128509900105,33.5808972206136,21.89365765363444
6600,14:45:34,100,600.0,2.299724262006327,31.464782606025498,16.62223039890686
6700,14:58:20,90,666.67,3.81575545582059,32.97887451311089,16.7728006130175
6800,15:10:50,100,600.0,10.748735192425995,37.80883313112657,12.756777679636695
6900,15:22:01,103,582.52,2.4936826881998906,54.3520084098262,26.234330715320485
7000,15:33:17,92,652.17,10.86277816406032,45.32831449535598,22.159647920479152
7100,15:45:12,96,625.0,4.970654371551802,25.86440813691137,13.761852228812687
7200,15:58:43,88,681.82,4.901671812990753,21.945671466628962,13.088035557236044
7300,16:10:29,92,652.17,2.0841302573807607,40.48009463135723,15.740811589462268
7400,16:20:54,97,618.56,3.96211122308257,46.73661944645577,21.031337248607045
7500,16:32:40,94,638.3,1.6142470430998228,23.421386626652815,15.456881243568436
7600,16:43:06,97,618.56,7.599486484078387,36.30043549993372,15.226460885941648
7700,16:54:36,86,697.67,4.344029561506871,47.556261218910095,18.268135419827924
7800,17:05:17,94,638.3,4.346848185217862,35.108295622619636,16.549823612841372
7900,17:15:53,96,625.0,6.028380175748254,35.8287996145305,15.589065450377756
