,time,value,RRI,ratio,sdnn,rmssd
0,00:00:02,66,909.09,,,
1,00:00:17,66,909.09,,,
2,00:00:32,66,909.09,,,
3,00:00:37,66,909.09,,,
4,00:00:42,65,923.08,,,
5,00:00:57,65,923.08,,,
6,00:01:12,65,923.08,,,
7,00:01:27,65,923.08,,,
8,00:01:32,64,937.5,,,
9,00:01:47,64,937.5,,,
10,00:02:02,64,937.5,,,
11,00:02:07,65,923.08,,,
12,00:02:22,65,923.08,,,
13,00:02:27,66,909.09,,,
14,00:02:42,66,909.09,,,
15,00:02:52,67,895.52,,,
16,00:02:57,71,845.07,,,
17,00:03:02,72,833.33,,,
18,00:03:07,72,833.33,,,
19,00:03:17,72,833.33,,,
20,00:03:32,72,833.33,,,
21,00:03:47,73,821.92,,,
22,00:03:57,72,833.33,,,
23,00:04:12,72,833.33,,,
24,00:04:27,72,833.33,,,
25,00:04:42,72,833.33,,,
26,00:04:47,72,833.33,,,
27,00:04:52,76,789.47,,,
28,00:04:57,80,750.0,,,
29,00:05:02,81,740.74,,,
30,00:05:07,82,731.71,,,
31,00:05:22,82,731.71,,,
32,00:05:37,82,731.71,,,
33,00:05:52,82,731.71,,,
34,00:05:57,79,759.49,,,
35,00:06:12,79,759.49,,,
36,00:06:27,79,759.49,,,
37,00:06:32,78,769.23,,,
38,00:06:37,77,779.22,,,
39,00:06:52,77,779.22,,,
40,00:06:57,76,789.47,,,
41,00:07:12,76,789.47,,,
42,00:07:17,77,779.22,,,
43,00:07:23,77,779.22,,,
44,00:07:33,78,769.23,,,
45,00:07:43,77,779.22,,,
46,00:07:58,76,789.47,,,
47,00:08:13,75,800.0,,,
48,00:08:28,75,800.0,,,
49,00:08:38,76,789.47,,,
50,00:08:43,79,759.49,,,
51,00:08:48,80,750.0,,,
52,00:08:53,81,740.74,,,
53,00:09:03,81,740.74,,,
54,00:09:18,82,731.71,,,
55,00:09:23,82,731.71,,,
56,00:09:38,82,731.71,,,
57,00:09:48,82,731.71,,,
58,00:09:53,81,740.74,,,
59,00:09:58,75,800.0,,,
60,00:10:03,66,909.09,,,
61,00:10:08,67,895.52,,,
62,00:10:13,68,882.35,,,
63,00:10:18,67,895.52,,,
64,00:10:23,65,923.08,,,
65,00:10:28,62,967.74,,,
66,00:10:33,61,983.61,,,
67,00:10:43,61,983.61,,,
68,00:10:53,63,952.38,,,
69,00:10:58,65,923.08,,,
70,00:11:03,66,909.09,,,
71,00:11:08,67,895.52,,,
72,00:11:13,66,909.09,,,
73,00:11:18,63,952.38,,,
74,00:11:23,62,967.74,,,
75,00:11:28,60,1000.0,,,
76,00:11:33,61,983.61,,,
77,00:11:38,62,967.74,,,
78,00:11:43,63,952.38,,,
79,00:11:53,64,937.5,,,
80,00:12:08,64,937.5,,,
81,00:12:18,65,923.08,,,
82,00:12:33,66,909.09,,,
83,00:12:48,66,909.09,,,
84,00:12:53,66,909.09,,,
85,00:13:03,63,952.38,,,
86,00:13:08,59,1016.95,,,
87,00:13:13,58,1034.48,,,
88,00:13:18,57,1052.63,,,
89,00:13:23,58,1034.48,,,
90,00:13:28,59,1016.95,,,
91,00:13:33,60,1000.0,,,
92,00:13:48,59,1016.95,,,
93,00:14:03,59,1016.95,,,
94,00:14:08,60,1000.0,,,
95,00:14:13,66,909.09,,,
96,00:14:18,73,821.92,,,
97,00:14:33,73,821.92,,,
98,00:14:38,73,821.92,,,
99,00:14:43,74,810.81,,,
100,00:14:58,72,833.33,6.6404725063521015,91.04213994196381,24.734756391308444
101,00:15:03,69,869.57,,,
102,00:15:08,67,895.52,,,
103,00:15:13,65,923.08,,,
104,00:15:18,63,952.38,,,
105,00:15:23,62,967.74,,,
106,00:15:28,61,983.61,,,
107,00:15:33,62,967.74,,,
108,00:15:43,63,952.38,,,
109,00:15:58,63,952.38,,,
110,00:16:13,63,952.38,,,
111,00:16:28,62,967.74,,,
112,00:16:43,61,983.61,,,
113,00:16:48,62,967.74,,,
114,00:17:03,62,967.74,,,
115,00:17:13,61,983.61,,,
116,00:17:23,61,983.61,,,
117,00:17:33,63,952.38,,,
118,00:17:38,62,967.74,,,
119,00:17:48,60,1000.0,,,
120,00:17:58,60,1000.0,,,
121,00:18:03,62,967.74,,,
122,00:18:08,65,923.08,,,
123,00:18:13,66,909.09,,,
124,00:18:18,68,882.35,,,
125,00:18:23,67,895.52,,,
126,00:18:28,65,923.08,,,
127,00:18:43,67,895.52,,,
128,00:18:48,65,923.08,,,
129,00:18:53,64,937.5,,,
130,00:18:58,64,937.5,,,
131,00:19:03,66,909.09,,,
132,00:19:08,64,937.5,,,
133,00:19:13,62,967.74,,,
134,00:19:18,62,967.74,,,
135,00:19:33,62,967.74,,,
136,00:19:48,62,967.74,,,
137,00:20:03,63,952.38,,,
138,00:20:08,64,937.5,,,
139,00:20:18,65,923.08,,,
140,00:20:28,66,909.09,,,
141,00:20:33,65,923.08,,,
142,00:20:38,66,909.09,,,
143,00:20:43,67,895.52,,,
144,00:20:53,68,882.35,,,
145,00:20:58,68,882.35,,,
146,00:21:13,68,882.35,,,
147,00:21:23,69,869.57,,,
148,00:21:33,70,857.14,,,
149,00:21:38,71,845.07,,,
150,00:21:43,71,845.07,,,
151,00:21:58,71,845.07,,,
152,00:22:08,70,857.14,,,
153,00:22:23,69,869.57,,,
154,00:22:38,69,869.57,,,
155,00:22:48,70,857.14,,,
156,00:22:58,69,869.57,,,
157,00:23:08,67,895.52,,,
158,00:23:18,66,909.09,,,
159,00:23:23,64,937.5,,,
160,00:23:28,65,923.08,,,
161,00:23:43,65,923.08,,,
162,00:23:58,65,923.08,,,
163,00:24:08,66,909.09,,,
164,00:24:13,66,909.09,,,
165,00:24:23,66,909.09,,,
166,00:24:38,66,909.09,,,
167,00:24:43,65,923.08,,,
168,00:24:48,66,909.09,,,
169,00:24:53,67,895.52,,,
170,00:24:58,66,909.09,,,
171,00:25:03,65,923.08,,,
172,00:25:18,65,923.08,,,
