,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
50,00:06:29,77,389,779.22,427.60394021978215,11.06147516992881,31.235111262024045,11.541442275379561
52,00:06:49,75,409,800.0,380.3500021758384,9.58048929732892,31.53698521237747,13.087226051164773
54,00:07:09,73,429,821.92,340.31922464653434,8.486146542518506,32.10425520845791,13.095279333268408
56,00:07:19,74,439,810.81,308.88020931494464,6.984745236349728,37.09617015052546,13.71681762342439
58,00:07:34,76,454,789.47,297.43827576870365,5.434050362778623,39.65982151101685,14.551245616083598
60,00:07:44,72,464,833.33,320.01874326008766,5.0422672666238055,41.206221343235974,14.943072383044198
62,00:07:54,77,474,779.22,385.17854809425535,5.598546519573308,44.292508702755526,15.133467102108906
64,00:08:04,84,484,714.29,483.15183287993125,6.260903890459241,44.555945690416536,16.459783456308642
66,00:08:14,88,494,681.82,622.2783224896403,7.212297903377258,45.35327469849947,17.979142337266087
68,00:08:24,86,504,697.67,779.3764931069364,8.170702619925262,46.662179290762516,17.951558627118075
70,00:08:49,88,529,681.82,972.0370459172956,9.127841287566895,47.38722576339558,17.91935272382394
72,00:08:59,92,539,652.17,1157.4584288364601,9.4481582917349,48.59771390818751,18.03068665427055
74,00:09:09,97,549,618.56,1340.079471835591,9.496780738172848,51.135931462831785,17.93695495509828
76,00:09:19,95,559,631.58,1525.8506644887211,9.131422797028117,55.59947093603813,18.250407264116674
78,00:09:29,87,569,689.66,1682.3112638865728,8.991403182382811,57.62433087344482,18.94324886472805
80,00:09:49,88,589,681.82,1826.0018228440176,8.644061322700207,57.80464976565997,18.899679243579882
82,00:10:09,91,609,659.34,1933.574984259585,8.155524095361912,58.41407941444199,18.856731218450832
84,00:10:29,89,629,674.16,1999.3084625261124,7.572175560210673,59.41505482447962,18.931559009511403
86,00:10:54,90,654,666.67,2026.0451903084984,7.042206727810814,60.059290713257624,18.957434866951118
88,00:11:14,90,674,666.67,2007.8365168807259,6.620343434361209,60.51363395035496,19.01008905066691
90,00:11:24,86,684,697.67,1939.7162549728098,6.266530043366749,61.05405562219735,19.071940763587648
92,00:11:39,87,699,689.66,1817.1665728521416,5.832006896288675,61.171960950842745,19.036667679153584
94,00:11:59,88,719,681.82,1650.0650245753377,5.37978673698082,61.31687549483404,18.657565407597414
96,00:12:09,90,729,666.67,1472.5106293570936,4.972702937114051,61.71220097966935,18.746319638798443
98,00:12:24,88,744,681.82,1240.2231626209702,4.521756585846051,62.20948564589271,18.264286161238054
100,00:12:39,86,759,697.67,1012.1838500923952,4.06611695528855,62.21099918135746,17.439992276725498
102,00:13:03,87,783,689.66,757.4280253408102,3.4293088318878104,60.00029014929845,17.223539243768478
104,00:13:18,93,798,645.16,552.7717223103851,2.929050087531418,57.512013851943344,17.116315167055067
106,00:13:33,94,813,638.3,402.41214257761044,2.6857457876367077,51.910659354828674,16.307793742094418
108,00:13:53,95,833,631.58,284.29007858720723,2.340144662717799,47.74122761859619,16.221579542607518
110,00:14:08,95,848,631.58,201.22575548121054,1.9879161910708365,42.94672441288064,15.632640434001399
112,00:14:33,97,873,618.56,156.4574600954101,2.072679663715773,31.430233507349744,14.331648437593476
114,00:14:43,101,883,594.06,144.32561041628668,2.3687373114626817,28.197691397759233,13.949989613045652
116,00:14:53,100,893,600.0,149.22330248006395,2.4772572549762786,30.378193737197314,13.673440216234491
118,00:15:08,102,908,588.24,170.94442127987068,2.68265374874621,32.43767646186912,13.632289774274751
120,00:15:18,102,918,588.24,209.68361704966478,3.0180557406483532,34.52187309222833,13.5880289450768
122,00:15:28,101,928,594.06,263.306336133243,3.406754275337295,36.693034755264115,13.303947779911503
124,00:15:58,102,958,588.24,310.8660872724166,3.58728067847345,38.475376019432666,12.843723314188471
126,00:16:08,96,968,625.0,357.4282588314116,3.685237722462451,39.27342966579677,13.162702253422157
128,00:16:18,99,978,606.06,410.2038521744891,3.9438985888140436,39.41964196246561,11.895825712734492
130,00:16:38,98,998,612.24,452.7305578021054,4.201943648496192,39.370145552907765,12.008101686879945
132,00:17:03,100,1023,600.0,480.2835414675123,4.496704966800586,39.17027737445621,11.931122738280687
134,00:17:18,98,1038,612.24,490.2186482242745,4.775831578973478,39.720859733384216,11.898731710839213
136,00:17:28,96,1048,625.0,477.44300665022604,4.961435335682748,39.30906338912964,12.16532853511762
138,00:17:48,95,1068,631.58,452.08813341330296,4.9918643660267765,38.435889098283006,11.847233983560233
140,00:18:03,97,1083,618.56,405.68416087239575,4.825859295923458,37.440786818546385,11.425665434111261
142,00:18:28,98,1108,612.24,355.2495116191306,4.579877969944805,35.23566554686618,11.554704316283248
144,00:18:43,106,1123,566.04,295.45770662555793,4.175524728248303,33.77131546089349,12.893629893739577
146,00:18:58,103,1138,582.52,244.56698968187314,3.673831761769637,33.641398291694244,12.828494193213256
148,00:19:13,101,1153,594.06,201.32231500869008,3.161550919976518,32.62165909080553,12.788104804457774
150,00:19:33,100,1173,600.0,166.6018121281714,2.717886880359177,29.57486546556252,12.71468081248072
152,00:19:48,100,1188,600.0,146.59669965246437,2.4900070916508086,23.88626845649003,12.720976890994834
154,00:19:59,99,1199,606.06,145.59964087573448,2.504371881269564,19.488682556702464,11.851471793556676
156,00:20:19,99,1219,606.06,161.61096468197084,2.842227092140733,18.33717760870145,11.777561682439776
158,00:20:39,91,1239,659.34,186.78270850739153,3.337283219785057,17.27656215920334,11.895695499993755
160,00:20:59,89,1259,674.16,211.38686692291367,3.615315461962727,20.38909792721872,13.642234166778719
162,00:21:09,88,1269,681.82,237.72413064133738,3.7883747735016193,24.52292062041352,13.601224734769826
164,00:21:29,88,1289,681.82,272.4678991401622,4.330107303276466,28.673775031038605,12.036058748779928
166,00:21:39,86,1299,697.67,318.6405308892781,4.926022343160376,32.09317613017524,12.11013776695765
168,00:21:54,86,1314,697.67,377.25678343405133,5.2179626527692005,35.523014169891134,12.159887721017627
170,00:22:04,86,1324,697.67,451.6780335260593,5.582670712948933,38.52164667046416,12.21525309452348
172,00:22:14,84,1334,714.29,542.6746534470277,6.201661662466132,40.18587988844046,12.186545106495656
174,00:22:24,80,1344,750.0,639.0831129330747,7.4710077452161,44.18486761185951,13.209033087324789
176,00:22:44,82,1364,731.71,717.7076566930308,8.404238572364594,48.53754508099679,12.960617977833738
178,00:23:14,81,1394,740.74,752.0585029407436,8.970580326753268,52.135576769239115,12.868820569778064
180,00:23:24,84,1404,714.29,741.3280666932533,8.97161873837386,54.624927712089665,12.785291533314243
182,00:23:34,83,1414,722.89,693.0032209036542,8.747710897100307,55.535009756119116,12.966409271180487
184,00:23:44,82,1424,731.71,632.7181734436256,8.334366521405828,56.02415245377003,12.734674422735013
186,00:24:09,83,1449,722.89,544.5443883887283,7.491058742980492,57.202730511750936,12.731770561577571
188,00:24:24,80,1464,750.0,457.92656309735236,6.46977465882548,58.18859383601092,12.821450059671616
190,00:24:39,77,1479,779.22,379.4584988663588,5.355946994088204,60.6213479687727,13.24023405983383
192,00:24:54,79,1494,759.49,312.2275443521939,4.192579478324335,62.808107779301295,13.362713811504138
194,00:25:14,78,1514,769.23,257.0725228389749,3.4501743874575266,62.134382711497004,12.079585832202653
196,00:25:29,80,1529,750.0,218.23556031744243,2.916110047971304,59.562642481916235,12.113328887415463
198,00:25:44,77,1544,779.22,185.55343972921003,2.5311099817012734,56.59631469541142,12.208589732860474
200,00:25:54,79,1554,759.49,165.16539240634967,2.2195069284496514,54.79059699456112,12.586423930050142
202,00:26:04,82,1564,731.71,155.3941372175793,2.1064718014016686,51.00614460783233,14.23376160358727
204,00:26:19,83,1579,722.89,155.81089553821926,2.11189184473105,45.89401152700445,14.318718803135479
206,00:26:34,81,1594,740.74,163.45792861937338,2.2135283262890284,39.11875632178592,14.168124686875725
208,00:26:49,81,1609,740.74,176.44121802666268,2.3153675113754892,31.57268285873026,12.570236550629255
210,00:27:04,79,1624,759.49,194.5856399734377,2.40635261559886,28.89202912463533,12.616793958685326
212,00:27:29,79,1649,759.49,213.60851994897737,2.480818996004983,27.582390732686907,12.71849296360643
214,00:27:44,79,1664,759.49,230.88683361703562,2.451817628243766,26.056410096996434,12.76813604090996
216,00:27:59,76,1679,789.47,242.08976482339864,2.3194633268991414,24.734049732368252,13.04775131146032
