,time,value,RRI,hf,lf/hf,sdnn,rmssd
168,00:23:48,66,909.09,961.4709309891633,13.336163218073024,55.524139691944924,23.267018919228885
170,00:24:08,62,967.74,991.7914584086328,12.705305833812947,57.18614401929824,24.677006028499726
172,00:24:18,60,1000.0,1041.6685506595886,12.430898542422815,60.67081512051536,24.43772351534088
174,00:24:43,60,1000.0,1087.3518247587115,12.293168094041443,63.28510171422332,22.13751115188877
176,00:24:58,61,983.61,1131.865344075221,11.855262226032202,67.79511595195316,19.91010255306258
178,00:25:13,61,983.61,1144.3280431750184,11.41439194143308,69.65212754973162,20.063944512177926
180,00:25:33,63,952.38,1125.769890553703,10.986955690637577,70.82592621004122,20.215475078589197
182,00:25:58,64,937.5,1109.2372473218727,10.739869171256954,71.59300920837316,20.130634234764617
184,00:26:08,65,923.08,1108.1643363958628,10.692392906236705,72.19090196507183,19.901735182272567
186,00:26:28,68,882.35,1136.1201237833345,11.294410357079467,72.50603012923851,19.59004417075787
188,00:26:53,66,909.09,1186.0491571019677,12.292461929068136,72.40113677904485,19.889587266523474
190,00:27:23,66,909.09,1243.5557555668074,13.484542427417672,72.22425336211019,19.632712133433962
192,00:27:33,71,845.07,1292.492169547864,14.91806205621138,70.8716495199136,20.366601411654916
194,00:28:03,71,845.07,1307.4152769200896,16.31160234159817,69.3664710525605,20.552390595346154
196,00:28:18,70,857.14,1291.4464500896286,17.396222469554893,66.92618937337473,20.736515264289757
198,00:28:28,74,810.81,1221.5840172630064,17.468888589420114,64.36933645354274,20.340274615367687
200,00:28:38,64,937.5,1119.5788582249813,15.81133685227603,60.511699457752016,21.942795898352028
202,00:28:48,65,923.08,986.5245890514117,13.378468636735048,55.70710470791653,24.40537942540454
204,00:28:58,63,952.38,839.1671429748935,10.583654788985832,52.65332481933702,24.796518435671814
206,00:29:28,63,952.38,701.1567335370441,7.461533533626267,50.45917876534921,23.73121190262619
208,00:29:53,64,937.5,593.7626079366668,5.130288785451415,50.598709389445396,23.437973897249805
210,00:30:09,64,937.5,539.7011487398745,3.7194783787901726,50.655265569920594,23.357666005499983
212,00:30:29,65,923.08,546.6856285557404,3.0001655323642322,50.671863715961535,22.979982460340366
214,00:30:49,65,923.08,599.1042497806269,2.721450787695353,50.08687462758265,22.198246851166108
216,00:31:09,64,937.5,679.7921826216925,2.64811409405263,47.509312144557285,21.41572410112509
218,00:31:34,64,937.5,766.4280750902849,2.6776597561091497,46.3107996048526,20.869149724032404
220,00:32:04,64,937.5,854.605107982554,2.7738130906095266,46.14324944547961,19.924351729397237
