,time,value,RRI,ratio,sdnn,rmssd,hf
108,00:14:05,83,722.89,10.69186492992735,79.80453282200689,13.989178543664762,510.74168726910335
109,00:14:10,88,681.82,,,,
110,00:14:15,89,674.16,12.797667055023854,71.72588122220625,14.632486641241888,628.0967573338446
111,00:14:20,83,722.89,,,,
112,00:14:25,74,810.81,13.519386065622667,65.39782055315024,16.00050834651633,717.4461872280025
113,00:14:30,71,845.07,,,,
114,00:14:35,69,869.57,10.291156474383591,60.66874851929911,20.92185221245958,745.2481098502835
115,00:14:50,69,869.57,,,,
116,00:15:05,69,869.57,7.580781316193751,58.9424471684378,21.04996184978849,725.1705043658698
117,00:15:10,68,882.35,,,,
118,00:15:15,67,895.52,5.826042493654594,59.981835736550536,20.44420924948516,684.7160023773895
119,00:15:30,65,923.08,,,,
120,00:15:40,67,895.52,3.94148782817784,66.68737175195672,20.787080563834518,645.3234380838702
121,00:15:45,69,869.57,,,,
122,00:15:50,68,882.35,3.0280015043986177,70.60619864705758,21.19013574900417,676.5015787298685
123,00:16:05,69,869.57,,,,
124,00:16:10,70,857.14,3.0102556027126206,73.77208920280718,21.346857341710674,815.5254451332481
125,00:16:15,71,845.07,,,,
126,00:16:30,71,845.07,3.353674927126773,75.48084482536626,21.38146269409031,1092.501339515883
127,00:16:35,73,821.92,,,,
128,00:16:40,74,810.81,3.785128368656764,76.77979846872458,21.396441483650158,1423.1417078734348
129,00:16:45,75,800.0,,,,
130,00:16:50,69,869.57,4.367395515945084,77.23724115624906,21.46568134279003,1810.7464671971766
131,00:16:55,71,845.07,,,,
132,00:17:00,74,810.81,5.074678998596084,79.40628020220456,23.833309523797634,2201.289524402651
133,00:17:15,74,810.81,,,,
134,00:17:25,73,821.92,5.795347285117483,79.67532753209704,24.26039209266405,2496.372730715961
135,00:17:30,71,845.07,,,,
136,00:17:35,67,895.52,6.403932297164824,80.08716577452296,24.503780133202447,2642.4759073308883
137,00:17:40,65,923.08,,,,
138,00:17:45,66,909.09,6.684868261169438,83.27935160233973,25.498242916654767,2625.153565012768
139,00:17:50,67,895.52,,,,
140,00:18:05,67,895.52,6.785211715392967,83.32645473763334,25.536877216276544,2457.4727388750152
141,00:18:20,68,882.35,,,,
142,00:18:35,68,882.35,6.784390079637875,80.98362319327413,25.562285955393474,2200.87173505123
143,00:18:40,67,895.52,,,,
144,00:18:45,66,909.09,6.432546858093814,78.59720245423914,25.376343796729195,1896.640006184096
145,00:19:00,66,909.09,,,,
146,00:19:15,67,895.52,5.7240703987265595,78.37371418077491,25.205346331155017,1602.0701238596748
147,00:19:30,68,882.35,,,,
148,00:19:35,69,869.57,4.844002401169993,77.73070333437839,25.285482323391243,1344.2257298828079
149,00:19:50,69,869.57,,,,
150,00:19:55,70,857.14,4.013569606741237,74.81408943589739,25.207307573440705,1145.6457201365445
151,00:20:05,71,845.07,,,,
152,00:20:20,71,845.07,3.4947632413723024,69.74256487004949,25.301365253153232,1015.7919702662309
153,00:20:25,69,869.57,,,,
154,00:20:30,67,895.52,3.17319723279207,65.17264571920352,25.2982545578439,930.6532071398366
155,00:20:35,66,909.09,,,,
156,00:20:40,65,923.08,2.9613561276081537,62.43115086008176,25.342108259188073,871.1997292984328
157,00:20:55,65,923.08,,,,
158,00:21:00,66,909.09,2.807318367872822,57.170579297254584,25.36264813477022,816.5218126235725
159,00:21:05,67,895.52,,,,
160,00:21:20,67,895.52,2.7481941512289105,47.91387529468998,24.807165110433857,761.0779233150613
161,00:21:30,67,895.52,,,,
162,00:21:36,67,895.52,2.918581973719692,33.39515681370946,20.22820686717498,715.0018552658312
163,00:21:41,68,882.35,,,,
164,00:21:46,69,869.57,3.204933780544005,32.048729739544555,19.40402262103277,675.7510367861388
165,00:21:51,70,857.14,,,,
166,00:21:56,71,845.07,3.6336491611147976,32.14219041594232,19.570449349851486,632.3523607222612
167,00:22:11,71,845.07,,,,
168,00:22:16,72,833.33,4.359182568430717,32.6582604483185,19.470558360179176,592.6381799655046
169,00:22:21,74,810.81,,,,
170,00:22:26,74,810.81,5.391758716785191,33.30902726448377,19.006926932794048,558.1373080491973
171,00:22:41,73,821.92,,,,
172,00:22:46,69,869.57,6.95052162795155,34.77799760463152,18.6200470746243,541.3281417018225
173,00:22:51,68,882.35,,,,
174,00:22:56,69,869.57,9.029153415501284,34.77799760463152,19.745637131130668,537.5765387710825
175,00:23:01,65,923.08,,,,
176,00:23:06,66,909.09,11.147813347257935,35.442432804507675,21.182194438360025,546.8585053786084
177,00:23:21,66,909.09,,,,
178,00:23:26,67,895.52,13.077786892030561,35.390336735398535,20.957658090852174,573.070941956296
179,00:23:31,68,882.35,,,,
180,00:23:46,69,869.57,15.147356897687148,32.69299493151151,18.583897462533514,607.1995872270508
181,00:24:01,69,869.57,,,,
182,00:24:16,69,869.57,15.576186961687872,32.40446755606143,17.677399268499858,650.1502883549921
183,00:24:21,68,882.35,,,,
184,00:24:26,66,909.09,15.64918614523714,29.486948798215316,17.700413981092108,694.3970534255344
185,00:24:41,65,923.08,,,,
186,00:24:51,64,937.5,15.606396217281208,28.754171534096496,16.401562145610605,746.0075522301755
187,00:24:56,63,952.38,,,,
188,00:25:11,63,952.38,15.178689405366605,30.81819617613952,16.071033582447754,795.4967860786481
189,00:25:16,64,937.5,,,,
190,00:25:26,67,895.52,14.776872175286673,32.95725908704503,16.09467994242134,828.7070505366391
191,00:25:31,68,882.35,,,,
192,00:25:41,68,882.35,14.315864756398746,32.95725908704503,17.175693432812526,848.0770094273005
193,00:25:46,70,857.14,,,,
194,00:25:51,71,845.07,13.962285699232218,33.162770185365204,17.340037485541956,851.5979576348607
195,00:26:06,70,857.14,,,,
196,00:26:21,70,857.14,13.71362707508139,33.424175550407966,17.403021670540614,845.9830193651267
197,00:26:26,67,895.52,,,,
198,00:26:31,66,909.09,13.775867130884375,33.61303278825774,18.056962080921497,826.7831138803248
199,00:26:41,67,895.52,,,,
200,00:26:46,66,909.09,14.136920341311422,33.77914221129087,18.17737155737028,803.693755883822
201,00:27:01,66,909.09,,,,
202,00:27:06,67,895.52,14.9757313548719,33.463605217048105,18.198948724964247,789.5903969786418
203,00:27:11,68,882.35,,,,
204,00:27:16,69,869.57,16.45297602563842,32.89508737529924,17.67785787881761,789.5689930119635
205,00:27:21,68,882.35,,,,
206,00:27:26,67,895.52,18.441623014521795,32.79464532946978,17.64711810894404,804.2712149762054
207,00:27:41,67,895.52,,,,
208,00:27:56,67,895.52,20.48786813548291,31.95325341935673,17.63423554524852,829.6626691108095
209,00:28:01,68,882.35,,,,
210,00:28:06,69,869.57,21.90292595925611,31.757043881344384,17.628045199369684,856.9539477447381
211,00:28:16,87,689.66,,,,
212,00:28:21,95,631.58,21.611673233690407,41.90678023413201,31.2192991724082,874.8733570114501
213,00:28:26,96,625.0,,,,
214,00:28:41,96,625.0,16.337548873927705,64.90886043853006,32.21021288792912,893.7721125381379
215,00:28:46,97,618.56,,,,
216,00:28:56,90,666.67,16.309310358482122,81.29446287567745,32.12814796773594,919.8017494030402
217,00:29:01,88,681.82,,,,
218,00:29:06,87,689.66,15.967646320249663,89.17754052015839,32.88351230681804,950.0884984671897
219,00:29:11,86,697.67,,,,
220,00:29:26,84,714.29,13.373962916838876,94.40614322474693,32.76490749666946,993.7593797701044
221,00:29:31,78,769.23,,,,
222,00:29:36,75,800.0,10.044283803500074,96.68807559679863,33.04421663561152,1098.631399920501
223,00:29:41,72,833.33,,,,
224,00:29:46,72,833.33,8.71197558476018,96.65853333424076,33.57450362816332,1348.4072815912655
225,00:29:51,72,833.33,,,,
226,00:30:06,72,833.33,8.228697550616488,95.86200511066278,32.63154765010107,1883.4337573573846
227,00:30:21,70,857.14,,,,
228,00:30:36,70,857.14,8.165914569191738,94.82595214929513,32.75102378832872,2588.1912809852165
229,00:30:51,70,857.14,,,,
230,00:30:56,71,845.07,8.456477394943025,94.31161482867229,32.64592705164344,3563.8437036164146
231,00:31:01,72,833.33,,,,
232,00:31:11,69,869.57,8.838696406169161,94.0639022558167,32.734424119708905,4650.0174191379465
233,00:31:26,69,869.57,,,,
234,00:31:41,68,882.35,9.188830114949987,93.94820881176382,32.86973833116388,5740.808718845493
235,00:31:46,66,909.09,,,,
236,00:31:51,64,937.5,9.485873810525302,93.3358152857799,33.01677517349542,6636.096295096188
237,00:31:56,62,967.74,,,,
238,00:32:11,62,967.74,9.999383116451096,93.75999928628022,33.47720394049464,7224.985482092857
239,00:32:16,61,983.61,,,,
240,00:32:21,62,967.74,10.474229650672788,95.43347755224205,32.945086685797236,7237.210159984833
241,00:32:36,62,967.74,,,,
242,00:32:46,62,967.74,10.719997240150079,98.47344584056296,32.96936305117223,6708.161520224347
243,00:32:51,61,983.61,,,,
244,00:32:56,60,1000.0,11.037387230808532,102.01588267880004,32.805112219821815,5811.133760879114
245,00:33:11,60,1000.0,,,,
246,00:33:26,60,1000.0,11.275573687624252,106.68713680282022,32.84333287420317,4686.508545008155
247,00:33:36,62,967.74,,,,
248,00:33:41,63,952.38,11.438236950232639,109.89919966580136,32.651242905367425,3553.079757207047
249,00:33:46,64,937.5,,,,
250,00:33:51,65,923.08,11.405191998059708,111.00800153638494,32.67906204159428,2465.2390488214164
251,00:34:06,65,923.08,,,,
252,00:34:21,64,937.5,11.410787740792626,111.32440911010615,32.68649012565733,1670.1463534460108
253,00:34:26,63,952.38,,,,
254,00:34:41,63,952.38,11.669804326786297,112.5732108350574,32.7153769936514,1154.4177209995196
255,00:34:56,63,952.38,,,,
256,00:35:11,66,909.09,12.921574777369598,114.0970266968479,32.610165373918086,864.9322423334702
257,00:35:16,69,869.57,,,,
258,00:35:26,68,882.35,15.349056909393768,114.09493229548018,33.66812090548154,761.5345240481221
259,00:35:31,65,923.08,,,,
260,00:35:46,65,923.08,19.107436775421295,114.33725553923752,34.115368462118695,755.7028984250413
261,00:35:56,63,952.38,,,,
262,00:36:01,62,967.74,21.890485705516305,112.6445533831883,21.259646261960086,773.859090208842
263,00:36:07,59,1016.95,,,,
264,00:36:17,60,1000.0,25.887434126246223,104.02549453997187,22.4794294629466,788.5860659818569
265,00:36:22,61,983.61,,,,
266,00:36:37,61,983.61,24.123127506313942,91.38319244940449,21.64688863913477,794.792661300299
267,00:36:42,63,952.38,,,,
268,00:36:47,64,937.5,18.556880284298675,80.12931518514816,21.967102676502424,791.7123169880073
269,00:37:02,64,937.5,,,,
270,00:37:12,65,923.08,16.62806190874868,66.9873330505439,21.911769412247615,796.4154929896615
271,00:37:22,64,937.5,,,,
272,00:37:32,65,923.08,14.942289793827666,56.08724082632522,20.19134619643994,813.9594468780215
273,00:37:42,64,937.5,,,,
274,00:37:52,63,952.38,12.612383722266154,51.34846512063332,19.836997232032704,841.7814734182289
275,00:38:02,64,937.5,,,,
276,00:38:17,63,952.38,10.853821952761496,47.42892354645537,20.06349375439514,882.0289156292157
277,00:38:32,65,923.08,,,,
278,00:38:37,64,937.5,9.898978465379198,43.77960692153461,20.32271956732771,933.63224834436
279,00:38:52,64,937.5,,,,
280,00:39:07,64,937.5,9.553902665263731,40.50313842412808,20.35395218103243,982.2443217510879
281,00:39:22,64,937.5,,,,
282,00:39:37,64,937.5,9.736420472146417,34.650340766943486,19.61294860701022,1022.9974176326998
283,00:39:47,65,923.08,,,,
284,00:40:02,65,923.08,9.84605303770724,31.202091047144346,19.636143216226625,1040.7572965729737
285,00:40:17,65,923.08,,,,
286,00:40:22,64,937.5,10.124892636676616,29.668434910537762,18.828534684551176,1033.2495993843283
287,00:40:37,64,937.5,,,,
288,00:40:52,64,937.5,10.748784760213729,29.575849342436985,18.441662570585837,994.3894525549116
289,00:40:57,62,967.74,,,,
290,00:41:02,62,967.74,11.463678991239442,29.15469332539718,18.667550586457743,916.0843660724952
291,00:41:07,63,952.38,,,,
292,00:41:12,61,983.61,12.306529312677007,29.01174857655752,18.796072320936553,807.5961616447019
293,00:41:22,62,967.74,,,,
294,00:41:37,62,967.74,12.94895447214229,29.01174857655752,19.175880470964934,672.7396194022258
295,00:41:47,63,952.38,,,,
296,00:42:02,64,937.5,12.779640213791033,27.0671988109111,19.301017632048644,525.880944231782
297,00:42:12,65,923.08,,,,
298,00:42:27,65,923.08,12.225867091442934,25.8227791079338,18.84775112444398,403.86976064621877
299,00:42:42,65,923.08,,,,
300,00:42:57,65,923.08,10.64246362848936,26.070032467512245,18.613851327022292,300.5136432226774
301,00:43:02,61,983.61,,,,
302,00:43:07,60,1000.0,8.638349671675144,26.572703652970112,20.420698832712024,224.21384448760628
303,00:43:12,59,1016.95,,,,
304,00:43:27,59,1016.95,6.413244411452973,29.559645979073615,20.587177651962616,174.83443588462023
305,00:43:32,60,1000.0,,,,
306,00:43:37,62,967.74,5.7274989707957955,32.0970345912363,19.785090603888612,160.84509263326106
307,00:43:42,64,937.5,,,,
308,00:43:47,65,923.08,5.484050335010395,29.619594366719127,19.903361986542546,167.7328071156658
309,00:44:02,65,923.08,,,,
310,00:44:17,65,923.08,6.066056911319829,28.233125373705033,19.14501618954549,199.04955665207504
311,00:44:32,66,909.09,,,,
312,00:44:47,67,895.52,7.078353863114755,28.85839581721162,18.65987242120133,254.88107039689538
313,00:44:52,66,909.09,,,,
314,00:45:07,66,909.09,8.43514270865725,28.637640619382346,17.332707255830705,329.18514087639426
315,00:45:17,66,909.09,,,,
316,00:45:32,66,909.09,10.35352864098352,27.969157959058673,17.173830471424374,420.4517549774237
317,00:45:37,64,937.5,,,,
318,00:45:42,61,983.61,12.841769078431803,27.74554071543455,16.940762939714126,534.1075194238243
319,00:45:47,62,967.74,,,,
320,00:45:52,64,937.5,15.507733833946988,28.566878494836903,18.20099548746424,661.414082589734
321,00:46:02,65,923.08,,,,
322,00:46:07,66,909.09,18.128990604204095,28.566878494836907,18.592875967280953,792.0447857646623
323,00:46:12,68,882.35,,,,
324,00:46:17,66,909.09,20.656137791969883,30.081214467450188,18.85522376598342,917.7268674553162
325,00:46:27,65,923.08,,,,
326,00:46:42,65,923.08,22.538537673831183,30.499211247746942,19.106774415673318,1024.3400897475437
327,00:46:57,64,937.5,,,,
328,00:47:02,62,967.74,22.370816886739977,30.45644882685532,18.642656047081807,1097.7166110966289
329,00:47:12,62,967.74,,,,
330,00:47:17,63,952.38,21.071542886293862,30.91961917618003,19.136640888353316,1134.237746894414
331,00:47:32,63,952.38,,,,
332,00:47:47,63,952.38,18.525115880483835,30.977185685927118,19.26203297385077,1127.4261779042479
333,00:48:02,63,952.38,,,,
334,00:48:17,63,952.38,15.52872608225236,30.901777063357844,19.15156166702116,1082.4692296870048
335,00:48:32,63,952.38,,,,
336,00:48:37,64,937.5,12.537176268776628,30.666986203673915,19.040449424467752,1000.5188586602425
337,00:48:52,64,937.5,,,,
338,00:49:07,64,937.5,10.22250401247767,30.66698620367391,19.158741490771362,907.9658202078994
339,00:49:22,64,937.5,,,,
340,00:49:32,63,952.38,8.402351692410683,30.49418547787731,18.665341558894767,812.6573362872255
341,00:49:47,63,952.38,,,,
342,00:50:02,63,952.38,7.037163875214621,30.324524949759248,18.116136509775377,716.5490458789019
343,00:50:17,63,952.38,,,,
344,00:50:22,64,937.5,6.163737335413376,29.61394679704073,17.973715957089187,633.8702447589231
345,00:50:27,65,923.08,,,,
346,00:50:37,65,923.08,5.623005323094841,29.47526664572747,17.95781655742713,565.385651724722
347,00:50:52,62,967.74,,,,
348,00:50:57,61,983.61,5.393224936124863,29.704530060622883,18.945816834071945,507.2006141139642
349,00:51:02,60,1000.0,,,,
350,00:51:17,61,983.61,5.2927896592579735,31.055069075854945,19.22410466055571,450.681840844334
351,00:51:22,62,967.74,,,,
352,00:51:27,63,952.38,5.461493481648987,31.06341474914744,17.318575494042722,399.5561953655014
353,00:51:42,63,952.38,,,,
354,00:51:57,64,937.5,5.291567575193773,28.235755184820935,17.288280151948165,344.34851722762244
355,00:52:12,64,937.5,,,,
356,00:52:17,66,909.09,5.187580166658657,24.78428150737346,16.622305643260177,291.7468224656229
357,00:52:22,68,882.35,,,,
358,00:52:27,69,869.57,4.80189639155481,26.129325741669742,16.865925617610657,252.21240397010178
359,00:52:32,72,833.33,,,,
360,00:52:37,76,789.47,4.090236349970607,31.395527218808382,17.736839846914723,224.80196365867425
361,00:52:42,75,800.0,,,,
362,00:52:47,73,821.92,3.9242898365345287,41.86464930692524,18.66454370823821,224.6669083926484
363,00:52:52,71,845.07,,,,
364,00:52:57,70,857.14,4.261115398030105,45.826942734240376,19.11413538271013,247.7886534126767
365,00:53:12,70,857.14,,,,
366,00:53:22,69,869.57,4.570241738861453,47.80121896191453,19.191751682768853,300.45964939471975
367,00:53:32,68,882.35,,,,
368,00:53:37,67,895.52,5.071490510238191,48.73741285790242,17.746753885412048,385.12901236911694
369,00:53:43,65,923.08,,,,
370,00:53:53,64,937.5,6.238840222045318,47.66452543066606,17.61209255260807,527.5907753930494
371,00:53:58,63,952.38,,,,
372,00:54:13,63,952.38,7.7183269072057,47.868844625237216,17.626973011581434,713.7789906677541
373,00:54:18,61,983.61,,,,
374,00:54:23,57,1052.63,9.568247999580318,48.43010219072515,17.361731550999732,951.6279917809725
375,00:54:33,58,1034.48,,,,
376,00:54:48,57,1052.63,11.696931581679197,53.80514293907115,20.034418954817312,1231.3875564785426
377,00:54:53,58,1034.48,,,,
378,00:55:03,57,1052.63,13.112289408885925,58.34771141446871,19.79691287003289,1490.5892455759713
