,time,value,RRI,hf,lf/hf,sdnn,rmssd
0,11:08:41,70,857.14,,,,
1,11:08:51,71,845.07,,,,
2,11:08:56,73,821.92,,,,
3,11:09:01,72,833.33,,,,
4,11:09:06,70,857.14,,,,
5,11:09:19,70,857.14,,,,
6,11:09:34,70,857.14,,,,
7,11:09:49,70,857.14,,,,
8,11:09:59,72,833.33,,,,
9,11:10:04,73,821.92,,,,
10,11:10:19,72,833.33,,,,
11,11:10:29,73,821.92,,,,
12,11:10:34,71,845.07,,,,
13,11:10:39,70,857.14,,,,
14,11:10:54,70,857.14,,,,
15,11:11:04,71,845.07,,,,
16,11:11:09,72,833.33,,,,
17,11:11:14,74,810.81,,,,
18,11:11:24,73,821.92,,,,
19,11:11:34,72,833.33,,,,
20,11:11:49,71,845.07,,,,
21,11:11:54,72,833.33,,,,
22,11:11:59,73,821.92,,,,
23,11:12:09,74,810.81,,,,
24,11:12:14,77,779.22,,,,
25,11:12:19,76,789.47,,,,
26,11:12:22,73,821.92,,,,
27,11:12:27,71,845.07,,,,
28,11:12:32,68,882.35,,,,
29,11:12:37,66,909.09,,,,
30,11:12:47,67,895.52,,,,
31,11:12:52,68,882.35,,,,
32,11:13:07,66,909.09,,,,
33,11:13:12,66,909.09,,,,
34,11:13:27,67,895.52,,,,
35,11:13:32,68,882.35,,,,
36,11:13:37,70,857.14,,,,
37,11:13:52,71,845.07,,,,
38,11:14:07,71,845.07,,,,
39,11:14:12,69,869.57,,,,
40,11:14:17,68,882.35,,,,
41,11:14:27,69,869.57,,,,
42,11:14:42,70,857.14,,,,
43,11:14:52,69,869.57,,,,
44,11:15:02,70,857.14,,,,
45,11:15:07,71,845.07,,,,
46,11:15:22,70,857.14,,,,
47,11:15:37,70,857.14,,,,
48,11:15:42,72,833.33,,,,
49,11:15:52,73,821.92,,,,
50,11:15:57,74,810.81,805.3064989676135,3.966104881862038,28.557877940942955,16.890064220948222
51,11:16:02,75,800.0,,,,
52,11:16:17,75,800.0,850.53933417913,4.278566025170843,29.857285014015652,16.621304253939908
53,11:16:22,75,800.0,,,,
54,11:16:37,75,800.0,855.7696418690588,4.446030683140655,31.071732872729935,16.187684787378036
55,11:16:42,75,800.0,,,,
56,11:16:47,76,789.47,809.7191265764731,4.426481133959547,32.31886686549187,16.187684787378036
57,11:16:57,75,800.0,,,,
58,11:17:12,76,789.47,725.2574948564524,4.262953030753267,33.66322004072404,15.968630920319622
59,11:17:17,78,769.23,,,,
60,11:17:22,82,731.71,629.0755562020985,3.9691606720267747,35.82674237812548,16.13402021082363
61,11:17:27,83,722.89,,,,
62,11:17:32,84,714.29,519.2799926624551,3.5373151286385682,42.170326067663524,16.644209632353054
63,11:17:37,87,689.66,,,,
64,11:17:42,90,666.67,408.2459913098382,3.0782740022343282,49.69713217858261,16.968980102359883
65,11:17:47,89,674.16,,,,
66,11:17:52,88,681.82,316.35084196009166,2.695062163356039,58.62127645509342,17.14910344535806
67,11:18:07,88,681.82,,,,
68,11:18:22,86,697.67,249.0204159391771,2.4217017424105003,64.88241078084795,16.805361632283805
69,11:18:27,82,731.71,,,,
70,11:18:32,75,800.0,206.36143499702982,2.272714337259247,67.99451326033744,17.48498901390351
71,11:18:37,74,810.81,,,,
72,11:18:52,74,810.81,209.48495877980153,2.687935183924246,67.78237711972044,19.945272929817172
73,11:18:57,75,800.0,,,,
74,11:19:02,76,789.47,273.44346238501896,4.170981505589939,67.78293413657501,19.42456765468484
75,11:19:17,78,769.23,,,,
76,11:19:22,79,759.49,379.13320898632594,6.645816585417755,67.89263099714347,19.086725326086434
77,11:19:32,78,769.23,,,,
78,11:19:42,79,759.49,573.2468960875219,11.136943073886016,68.28707347720821,18.134905681630453
79,11:19:47,81,740.74,,,,
80,11:19:52,88,681.82,803.2678666977354,16.631350183547912,66.67703285668483,17.878343415017678
81,11:19:57,95,631.58,,,,
82,11:20:02,100,600.0,1072.5509122140968,19.902331907746955,70.25437936120831,20.58792518116641
83,11:20:07,101,594.06,,,,
84,11:20:12,102,588.24,1375.9167323944987,19.424958221538695,76.07910644016985,21.004229700375166
85,11:20:17,103,582.52,,,,
86,11:20:22,104,576.92,1677.5328959223716,19.77535912030846,81.87998304362604,20.640411817597048
87,11:20:32,104,576.92,,,,
88,11:20:37,105,571.43,1957.1737130480492,19.40039697499965,88.2678030411672,20.58381497136792
89,11:20:42,109,550.46,,,,
90,11:20:47,111,540.54,2204.100898094304,18.660133342931204,93.85091350082202,20.43770080722668
91,11:20:57,110,545.45,,,,
