,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
0,00:00:02,128,2,468.75,,,,
1,00:00:07,125,7,480.0,,,,
2,00:00:12,124,12,483.87,,,,
3,00:00:17,125,17,480.0,,,,
4,00:00:27,126,27,476.19,,,,
5,00:00:37,125,37,480.0,,,,
6,00:00:42,124,42,483.87,,,,
7,00:00:47,123,47,487.8,,,,
8,00:00:57,124,57,483.87,,,,
9,00:01:02,125,62,480.0,,,,
10,00:01:07,126,67,476.19,,,,
11,00:01:12,127,72,472.44,,,,
12,00:01:17,128,77,468.75,,,,
13,00:01:27,127,87,472.44,,,,
14,00:01:37,126,97,476.19,,,,
15,00:01:42,127,102,472.44,,,,
16,00:01:57,125,117,480.0,,,,
17,00:02:02,123,122,487.8,,,,
18,00:02:12,120,132,500.0,,,,
19,00:02:17,118,137,508.47,,,,
20,00:02:32,116,152,517.24,,,,
21,00:02:37,115,157,521.74,,,,
22,00:02:42,116,162,517.24,,,,
23,00:02:47,117,167,512.82,,,,
24,00:02:52,120,172,500.0,,,,
25,00:02:57,118,177,508.47,,,,
26,00:03:07,119,187,504.2,,,,
27,00:03:12,121,192,495.87,,,,
28,00:03:27,121,207,495.87,,,,
29,00:03:32,122,212,491.8,,,,
30,00:03:37,121,217,495.87,,,,
31,00:03:47,122,227,491.8,,,,
32,00:03:52,124,232,483.87,,,,
33,00:03:57,126,237,476.19,,,,
34,00:04:12,126,252,476.19,,,,
35,00:04:17,128,257,468.75,,,,
36,00:04:22,129,262,465.12,,,,
37,00:04:27,131,267,458.02,,,,
38,00:04:32,130,272,461.54,,,,
39,00:04:42,129,282,465.12,,,,
40,00:04:52,131,292,458.02,,,,
41,00:04:57,132,297,454.55,,,,
42,00:05:12,133,312,451.13,,,,
43,00:05:22,132,322,454.55,,,,
44,00:05:32,133,332,451.13,,,,
45,00:05:37,134,337,447.76,,,,
46,00:05:42,133,342,451.13,,,,
47,00:05:47,132,347,454.55,,,,
48,00:05:57,131,357,458.02,,,,
49,00:06:02,130,362,461.54,,,,
50,00:06:12,131,372,458.02,312.5692615908294,11.277503714451273,19.41847601262935,5.717245126521579
51,00:06:27,132,387,454.55,,,,
52,00:06:37,131,397,458.02,314.88450193794125,12.99087886447175,19.90295163116901,5.5042647658197685
53,00:06:52,131,412,458.02,,,,
54,00:06:57,129,417,465.12,311.7490903617856,15.563089894036288,20.29755835723367,5.47181554021355
55,00:07:02,127,422,472.44,,,,
56,00:07:17,126,437,476.19,300.04608600996795,19.014499059877977,20.383609102433667,5.609024979841849
57,00:07:22,122,442,491.8,,,,
58,00:07:27,121,447,495.87,284.5112520729542,23.59476530956076,20.412634167923297,6.007549162410206
59,00:07:32,120,452,500.0,,,,
60,00:07:42,121,462,495.87,269.32314817927767,28.519546930805056,20.804757133592194,6.014558018945812
61,00:07:47,122,467,491.8,,,,
62,00:07:57,121,477,495.87,258.9318543188163,32.59138543201851,21.025836903919053,6.024632599518723
63,00:08:07,122,487,491.8,,,,
64,00:08:12,121,492,495.87,254.85657741974805,34.44636194635097,21.164703849107088,6.033858379078478
65,00:08:17,119,497,504.2,,,,
66,00:08:22,115,502,521.74,256.67338348498515,32.87971887406749,21.524824860270208,6.058730587056225
67,00:08:27,116,507,517.24,,,,
68,00:08:42,118,522,508.47,267.5913215387886,27.540738264763352,22.847716850164836,6.254670418240789
69,00:08:47,123,527,487.8,,,,
70,00:08:52,128,532,468.75,270.00462144968895,21.64865804187449,22.716986550120758,6.810004944707371
71,00:08:57,130,537,461.54,,,,
72,00:09:02,131,542,458.02,257.6947615374152,16.991315558462293,21.56326695175509,7.349606125778558
73,00:09:07,131,547,458.02,,,,
74,00:09:17,132,557,454.55,249.20287024271138,12.489279633764896,20.674528779270837,7.107513127468913
75,00:09:22,133,562,451.13,,,,
76,00:09:28,134,568,447.76,250.66358037974993,9.498786548205315,20.434710075691097,7.01177420850247
77,00:09:38,132,578,454.55,,,,
78,00:09:43,131,583,458.02,261.0965882297336,7.851498978694402,20.304802026785165,6.994394256860862
79,00:09:48,132,588,454.55,,,,
80,00:09:53,133,593,451.13,285.6420099408177,6.603314101365457,20.117080874171563,6.981181702203698
81,00:10:03,134,603,447.76,,,,
82,00:10:13,133,613,451.13,321.3270689381784,5.871389405149006,20.054490794343504,6.89825695227366
83,00:10:18,132,618,454.55,,,,
84,00:10:33,131,633,458.02,355.42879250392923,5.423720995125806,20.213063891393386,6.844903362416184
85,00:10:38,132,638,454.55,,,,
86,00:10:48,134,648,447.76,393.31477248295795,5.062762843088069,20.341739736566392,6.778317321746288
87,00:11:03,133,663,451.13,,,,
88,00:11:08,132,668,454.55,425.8788721484576,4.837269215843549,20.636070980450814,6.77027461535697
89,00:11:23,131,683,458.02,,,,
90,00:11:28,132,688,454.55,449.5461965799004,4.707055096215705,20.745733629754692,6.7104931538112
91,00:11:33,133,693,451.13,,,,
92,00:11:38,134,698,447.76,457.87245179774374,4.643829175627559,20.833169158427953,6.710493153811199
93,00:11:43,135,703,444.44,,,,
94,00:11:48,136,708,441.18,453.04907192465345,4.6620891964307365,21.067117223826546,6.7089518327289825
95,00:12:03,137,723,437.96,,,,
96,00:12:08,136,728,441.18,432.03587415331,4.704298371989624,21.492274989979496,6.706338609928703
97,00:12:13,134,733,447.76,,,,
98,00:12:18,133,738,451.13,395.1112368254587,4.805885987939384,21.78307796695145,6.751721473605297
99,00:12:33,131,753,458.02,,,,
100,00:12:48,130,768,461.54,344.9644074208667,4.921079029022107,21.880340452710758,6.802984939100826
101,00:12:53,129,773,465.12,,,,
