,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
0,00:00:04,77,4,779.22,,,,
1,00:00:09,78,9,769.23,,,,
2,00:00:14,78,14,769.23,,,,
3,00:00:26,80,26,750.0,,,,
4,00:00:36,81,36,740.74,,,,
5,00:00:41,82,41,731.71,,,,
6,00:00:46,81,46,740.74,,,,
7,00:01:01,81,61,740.74,,,,
8,00:01:06,87,66,689.66,,,,
9,00:01:11,89,71,674.16,,,,
10,00:01:21,88,81,681.82,,,,
11,00:01:26,85,86,705.88,,,,
12,00:01:31,82,91,731.71,,,,
13,00:01:36,80,96,750.0,,,,
14,00:01:41,79,101,759.49,,,,
15,00:01:46,78,106,769.23,,,,
16,00:01:51,79,111,759.49,,,,
17,00:02:06,79,126,759.49,,,,
18,00:02:21,78,141,769.23,,,,
19,00:02:36,76,156,789.47,,,,
20,00:02:41,75,161,800.0,,,,
21,00:02:56,76,176,789.47,,,,
22,00:03:01,76,181,789.47,,,,
23,00:03:06,75,186,800.0,,,,
24,00:03:16,74,196,810.81,,,,
25,00:03:21,77,201,779.22,,,,
26,00:03:26,79,206,759.49,,,,
27,00:03:31,80,211,750.0,,,,
28,00:03:36,80,216,750.0,,,,
29,00:03:41,81,221,740.74,,,,
30,00:03:46,81,226,740.74,,,,
31,00:04:01,81,241,740.74,,,,
32,00:04:06,82,246,731.71,,,,
33,00:04:21,82,261,731.71,,,,
34,00:04:26,81,266,740.74,,,,
35,00:04:31,77,271,779.22,,,,
36,00:04:36,77,276,779.22,,,,
37,00:04:41,78,281,769.23,,,,
38,00:04:51,76,291,789.47,,,,
39,00:04:56,74,296,810.81,,,,
40,00:05:01,74,301,810.81,,,,
41,00:05:06,73,306,821.92,,,,
42,00:05:16,75,316,800.0,,,,
43,00:05:21,75,321,800.0,,,,
44,00:05:26,73,326,821.92,,,,
45,00:05:36,74,336,810.81,,,,
46,00:05:41,74,341,810.81,,,,
47,00:05:46,74,346,810.81,,,,
48,00:05:56,75,356,800.0,,,,
49,00:06:11,75,371,800.0,,,,
50,00:06:16,73,376,821.92,623.1040881074895,7.106494933311489,35.9986486305318,15.60826416370768
51,00:06:31,74,391,810.81,,,,
52,00:06:36,76,396,789.47,612.3404115400489,7.5863099938995955,37.307895224491446,15.93442941608912
53,00:06:46,75,406,800.0,,,,
54,00:06:51,75,411,800.0,610.6952661252177,8.034683561785194,37.58517086049023,16.005185384233233
55,00:07:01,75,421,800.0,,,,
56,00:07:06,73,426,821.92,605.3470195271298,8.271381772872443,37.37435341110209,15.900872906343007
57,00:07:11,72,431,833.33,,,,
58,00:07:21,73,441,821.92,585.1397130757349,8.142869662173528,38.34556639619366,14.56201257395698
59,00:07:26,75,446,800.0,,,,
60,00:07:31,74,451,810.81,545.5987750435323,7.919251060130698,33.71846882341956,14.778850856986843
61,00:07:36,75,456,800.0,,,,
62,00:07:41,76,461,789.47,488.0533219107952,7.444387767905615,28.759518562005976,14.062503986393978
63,00:07:51,77,471,779.22,,,,
64,00:07:56,79,476,759.49,421.18221717498034,6.679287907336125,27.21886276021066,13.910285505953585
65,00:08:01,79,481,759.49,,,,
66,00:08:16,82,496,731.71,346.23588373798947,5.6228096877915075,27.38373955172547,14.055897012155647
67,00:08:21,83,501,722.89,,,,
68,00:08:31,84,511,714.29,273.19089280250574,4.467507572576567,29.3821842424477,14.593468625745277
69,00:08:36,88,516,681.82,,,,
70,00:08:41,87,521,689.66,211.81729543377193,3.394607632284731,34.21203362764006,15.012389033388235
71,00:08:46,85,526,705.88,,,,
72,00:08:51,83,531,722.89,168.75116730922642,2.6531709901360783,37.98082663445773,15.15692910849686
73,00:08:56,80,536,750.0,,,,
74,00:09:06,78,546,769.23,149.1147083880935,2.3320147726507394,38.79106726333487,15.684027817223102
75,00:09:11,77,551,779.22,,,,
76,00:09:16,77,556,779.22,171.2896118582474,2.6163542899390677,38.47747538495735,15.07521259199608
77,00:09:21,76,561,789.47,,,,
78,00:09:31,78,571,769.23,231.69924727649297,3.434803695066759,38.2788194132665,15.085363970499635
79,00:09:36,79,576,759.49,,,,
80,00:09:51,78,591,769.23,328.2502214278411,4.812310466743066,37.83142743642579,15.366023810833484
81,00:09:56,76,596,789.47,,,,
82,00:10:11,76,611,789.47,456.1074378722874,6.629637908394182,37.130467067531754,15.644392618704087
83,00:10:21,78,621,769.23,,,,
84,00:10:26,78,626,769.23,620.83044889954,9.038849287545204,35.89696689819065,15.856963126394547
85,00:10:31,80,631,750.0,,,,
86,00:10:36,81,636,740.74,786.0379209571583,11.388734662131313,35.74744101530704,15.125194011236703
87,00:10:41,80,641,750.0,,,,
88,00:10:46,78,646,769.23,929.153741317914,13.256965704603871,36.409154004823264,14.895445612669654
89,00:10:51,77,651,779.22,,,,
90,00:11:01,78,661,769.23,1054.7873798815283,14.625705055722301,36.12143759710612,14.905168327031484
91,00:11:16,76,676,789.47,,,,
92,00:11:21,74,681,810.81,1126.3893849824926,14.99662428418997,35.31283163673059,14.840359545124612
93,00:11:31,73,691,821.92,,,,
94,00:11:46,71,706,845.07,1131.5132577534628,14.108460960319842,35.908629356254984,14.90782468151184
95,00:11:56,72,716,833.33,,,,
96,00:12:01,73,721,821.92,1074.7751984618542,12.473882817275898,37.17665399529272,15.27986309907685
97,00:12:06,75,726,800.0,,,,
98,00:12:21,78,741,769.23,965.7729783496858,10.247172466184846,37.24784269112585,15.606157209804811
99,00:12:36,78,756,769.23,,,,
100,00:12:46,79,766,759.49,829.4048805481508,8.300313614256392,37.02388961583742,15.908130061098197
101,00:13:01,79,781,759.49,,,,
102,00:13:11,80,791,750.0,703.7589435018465,6.884935267753614,36.26631994688454,15.594610136393996
103,00:13:16,81,796,740.74,,,,
104,00:13:21,82,801,731.71,586.5072532602134,5.640021224147339,36.48783023286039,15.637036229439909
105,00:13:26,82,806,731.71,,,,
