Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,increase rate,kind
98,00:15:28,61,928,983.61,186.91327486284618,1.3600873262715227,27.279175076551393,16.058474652446453,up trend,0,7.59,HF
230,00:33:34,65,2014,923.08,672.9166337560779,3.2316203839326487,36.3510183025545,20.295687789704075,up trend,0,2.13,HF
266,00:39:09,67,2349,895.52,691.2767893761493,4.724582947939758,35.513323927328265,19.40136261783104,up trend,0,1.96,HF
398,00:58:40,65,3520,923.08,694.4719738741028,3.5254780900180305,27.99308512938909,21.699638622026182,up trend,0,2.22,HF
