Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
84,00:10:06,71,606,845.07,223.4058189668876,1.1042867581334994,26.410229740363405,21.182169051215844,start,-0.41,0,BPM
132,00:15:48,69,948,869.57,907.3061153035846,7.160751993082505,40.78388515087793,27.44023550354108,stop,0.47,12,BPM
138,00:16:43,78,1003,769.23,557.8270810691781,5.935221885570352,34.17494318046126,21.68483943275786,start,-0.29,0,BPM
228,00:26:59,71,1619,845.07,1296.4781439209166,7.251482722042653,42.74329681019098,24.17479729986988,stop,0.52,8,BPM
270,00:45:21,69,2721,869.57,4042.759386692461,8.28341320256325,91.07309533130238,37.112924614874906,start,23.92,0,BPM
714,01:44:09,61,6249,983.61,309.0734896559018,3.2376556552581968,39.848369246329725,20.820855419702703,stop,0.27,9,BPM
720,01:44:49,65,6289,923.08,410.0440014230608,4.502959452976502,43.73132844064622,22.294474468727337,start,-0.32,0,BPM
732,01:46:10,62,6370,967.74,1455.6021564686446,18.72748065685988,71.52545340831686,32.77304317855872,stop,0.22,18,BPM
738,01:46:45,68,6405,882.35,3215.9566709936817,25.91565333222645,73.38098852410964,32.95359439687073,start,11.0,0,BPM
756,01:48:45,59,6525,1016.95,7856.29411313265,22.714508638830004,102.2193369190158,43.473131885319326,stop,0.24,21,BPM
798,01:54:21,57,6861,1052.63,2784.517556599382,7.393565171073131,71.4161321785697,40.84363313108835,start,-0.27,0,BPM
960,02:17:29,58,8249,1034.48,590.1014167240338,3.957402939621527,85.57400957137894,42.63868373930425,stop,0.56,3,BPM
966,02:18:10,79,8290,759.49,2281.179216966335,5.501586288576425,88.6051922383324,47.35433493076103,start,-0.3,0,BPM
1026,02:25:31,61,8731,983.61,1362.8464878568122,1.704575335980258,55.37306508859811,33.825558957325605,stop,0.28,16,BPM
1032,02:26:16,79,8776,759.49,1180.490406814701,1.780784426114019,59.37073461164626,35.854474288861255,start,-0.4,0,BPM
1056,02:28:51,54,8931,1111.11,6047.45179916332,16.34048827385374,99.0804236798139,36.36685977364444,stop,0.37,16,BPM
1122,02:36:53,72,9413,833.33,604.5994385067022,2.3922816894505647,88.38072615077778,30.896631610872387,start,-0.26,0,BPM
1422,03:13:48,74,11628,810.81,509.1462974556811,1.24474837162036,69.69969819979752,29.807150148915618,stop,0.31,-8,BPM
1506,03:24:34,56,12274,1071.43,959.2785042251649,2.6979605386746583,114.55648653349122,34.63117172580275,start,-0.51,0,BPM
1512,03:25:14,58,12314,1034.48,1094.1536100564713,3.244203244558789,67.73862687551019,42.82689911440124,stop,0.52,11,BPM
1518,03:26:00,79,12360,759.49,1642.568105104385,5.137507873895284,73.46297121513057,49.79825029710442,start,-0.33,0,BPM
1854,04:20:03,82,15603,731.71,2456.987700039901,4.693936566641812,126.98163490884204,29.60081379879649,stop,0.2,13,BPM
1890,04:24:13,57,15853,1052.63,2177.628181239937,6.207558528723156,171.60159213666034,43.30106554752458,start,-0.4,0,BPM
1938,04:29:39,60,16179,1000.0,1907.9575189694715,9.633388557574088,58.92025975149525,40.65674901927508,stop,0.23,9,BPM
1944,04:30:19,63,16219,952.38,1543.722844375416,6.227611530542233,57.60208065296789,37.27504072733508,start,-0.29,0,BPM
1986,04:35:25,59,16525,1016.95,1902.106718979452,13.726557034801582,61.45197421348391,32.37623186530387,stop,0.26,-2,BPM
1992,04:36:15,70,16575,857.14,1379.603783004652,8.891387866298079,67.30387791871993,34.69389954020911,start,-0.75,0,BPM
2262,05:17:36,56,19056,1071.43,2826.005694566208,12.14434758818066,121.40074231104798,37.594042244016514,stop,0.21,32,BPM
2304,05:22:35,57,19355,1052.63,3143.316797549106,12.109573831257638,102.39024002754348,41.31279396141055,start,-0.36,0,BPM
2586,05:57:34,68,21454,882.35,1759.0345659969266,15.394395055289223,97.87613610235404,24.893708614254905,stop,0.21,-1,BPM
2676,06:08:41,83,22121,722.89,874.4513627652275,10.042314967719983,89.70493206471255,16.304194089189423,start,-0.21,0,BPM
2754,06:17:52,65,22672,923.08,351.27905886545886,2.936985390295701,47.89268802612093,19.66415743821997,stop,0.21,19,BPM
7338,16:05:04,89,57904,674.16,1395.301969851233,23.25491977832869,50.47018609485188,15.757816848686076,start,-0.21,0,BPM
7410,16:14:29,97,58469,618.56,268.254738028116,3.0666337537195174,29.786789366689224,13.91958735900234,stop,0.28,-9,BPM
9930,21:19:52,78,76792,769.23,291.99356352069844,1.262554323290697,27.89913943812167,22.278248932764097,start,-0.26,0,BPM
9942,21:21:18,80,76878,750.0,584.6609690392668,1.1876318615409034,29.67532540680895,23.266010769851757,stop,0.21,1,BPM
10410,22:22:35,68,80555,882.35,8083.326093555628,18.20670312451529,97.87525457855182,40.97710542959026,start,-0.21,0,BPM
10644,22:54:03,63,82443,952.38,224.74152232334973,1.5401687111095717,27.111444741274543,19.86235286224897,stop,0.39,8,BPM
10656,22:55:43,86,82543,697.67,336.86772924511416,1.9951778601460688,72.03643124907036,26.33482942447751,start,-0.56,0,BPM
10764,23:09:11,64,83351,937.5,347.7179078192621,3.544432369587311,18.11274527136364,16.21772436790899,stop,0.36,12,BPM
10776,23:10:36,81,83436,740.74,339.64582692509555,4.878944502521437,74.22698679051979,21.06037220827353,start,-0.44,0,BPM
10932,23:31:20,68,84680,882.35,423.6810812978224,3.193682770986128,31.744386166080204,22.42079109820587,stop,0.25,9,BPM
