Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,increase rate,kind
74,00:09:57,67,597,895.52,1299.863354766361,11.010781751221012,44.88460539004893,22.48699134148091,up trend,0,3.02,HF
86,00:11:37,63,697,952.38,582.9479522350333,7.8451894997041425,72.57934578410708,24.895475656497613,up trend,0,1.74,HF
158,00:24:27,69,1467,869.57,999.8123240051652,5.700149000034043,42.683474029948705,22.607391422691283,up trend,0,2.85,HF
170,00:26:12,72,1572,833.33,780.9911404483618,7.0376621424139465,40.90487887870629,18.518891622847605,up trend,0,1.78,HF
302,00:44:42,67,2682,895.52,1171.8329238854574,7.717911245221948,113.28473387595936,25.09496542727082,up trend,0,2.04,HF
374,00:53:12,57,3192,1052.63,416.65833726222894,3.0829779826140804,67.32963834624934,26.36362843164105,up trend,0,2.61,HF
386,00:54:53,60,3293,1000.0,782.5539984459157,4.754892767824296,59.90624258159489,19.048425131753014,up trend,0,3.43,HF
422,00:59:23,60,3563,1000.0,271.2794973193133,2.857695611957152,26.07774162314034,21.333916515200666,up trend,0,4.88,HF
