Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,increase rate,kind
50,00:05:46,81,346,740.74,2459.2745979451333,3.419013864139539,62.86148035975933,28.90059296051532,,0,0.0,
52,00:06:06,84,366,714.29,2771.530534802051,3.1980941208073435,64.32966846848588,29.079726509675968,,0,0.0,
54,00:06:21,87,381,689.66,3033.842620050762,3.100464946549494,64.60031880915835,29.17991988491052,,0,0.0,
56,00:06:31,84,391,714.29,3236.583528636861,3.0182802483807945,64.77473543011052,29.20328926819089,,0,0.0,
58,00:06:46,82,406,731.71,3363.8189204461523,2.9550408650595776,65.89878299331482,29.131019374472952,,0,0.0,
60,00:07:06,84,426,714.29,3384.80606779405,2.8994591277470243,67.34491126147785,29.16828124199719,,0,0.0,
62,00:07:21,83,441,722.89,3281.0459523929635,2.867967819135821,68.21125323880337,29.187096568902657,,0,0.0,
64,00:07:41,86,461,697.67,3079.47039497462,2.8416469085076064,69.01199817038619,29.177799325332742,,0,0.0,
66,00:07:51,86,471,697.67,2770.3311992309414,2.8039698903204595,69.2282408827083,29.204507724469035,,0,0.0,
68,00:08:06,86,486,697.67,2323.249787419337,2.727601547652742,69.52176832166619,29.213739673555764,,0,0.0,
70,00:08:16,85,496,705.88,1874.228628786776,2.620161987500917,69.75184147346059,29.218515900513697,,0,0.0,
72,00:08:41,85,521,705.88,1407.8395053467673,2.448796931982585,69.96050725624436,27.78515104093097,,0,0.0,
74,00:09:01,84,541,714.29,1022.0144422010574,2.177299140960168,67.39645974745109,27.170427914577,,0,0.0,
76,00:09:16,83,556,722.89,708.0409820680759,1.877824391310132,60.35250585738181,27.15575220005921,,0,0.0,
78,00:09:36,85,576,705.88,463.7178517353081,1.6531919839913878,53.38588001388704,26.498346694671746,,0,0.0,
80,00:09:46,81,586,740.74,281.02665540184137,1.4283249650540395,51.3217581244017,25.22903571001364,,0,0.0,
82,00:09:56,81,596,740.74,176.32230297551365,1.250848873891436,51.91603266342879,25.09140217814275,,0,0.0,
84,00:10:16,79,616,759.49,128.29392725306934,1.2242119108694574,52.85379515460454,24.935262180294004,,0,0.0,
86,00:10:31,81,631,740.74,104.52907219858982,1.2078005755672896,49.05954243902537,23.08515619905341,,0,0.0,
88,00:10:46,83,646,722.89,96.49822771463778,1.4296953813158269,36.31909094935824,23.01577945848528,,0,0.0,
90,00:11:06,83,666,722.89,103.89915188191472,2.2178772884232028,19.503542975886344,13.56872176013945,,0,0.0,
92,00:11:31,84,691,714.29,115.67868346479796,2.968177068923553,18.934335468472444,12.002317633333522,,0,0.0,
94,00:11:41,85,701,705.88,129.41933342410428,3.7649499662438326,17.927812993633506,11.750904263945325,,0,0.0,
96,00:11:51,86,711,697.67,148.2773763952726,4.563048441249088,17.355435819644416,10.625864382606771,,0,0.0,
98,00:12:11,86,731,697.67,171.26634437812544,5.119507985231122,17.85717502739961,10.619555219557206,,0,0.0,
100,00:12:26,85,746,705.88,198.1429095347765,5.571766984390815,18.08715510397096,10.36571507323986,,0,0.0,
102,00:12:46,85,766,705.88,225.3770805396661,5.857116060789068,17.79302964761248,9.971768209524829,,0,0.0,
104,00:13:06,86,786,697.67,249.82384649848268,6.004718133441092,17.8384114740738,9.688401965910654,,0,0.0,
106,00:13:21,86,801,697.67,269.3307642092616,6.006320366128487,17.518148024379805,9.396494244218578,,0,0.0,
108,00:13:46,86,826,697.67,281.1803174064137,6.006262996331071,17.810391582627577,9.3044457225609,,0,0.0,
110,00:13:57,85,837,705.88,283.0598821003527,6.009907521877356,17.864186153832364,9.136504936187569,,0,0.0,
112,00:14:22,83,862,722.89,272.5056622861743,5.940133404652194,17.83421383813961,9.2078965667341,,0,0.0,
114,00:14:37,83,877,722.89,251.7312955293916,5.835746421931085,18.035450158179135,8.985306145625335,,0,0.0,
116,00:14:52,84,892,714.29,223.94889147838325,5.723984909167046,17.65378623319506,9.252537324365449,,0,0.0,
118,00:15:07,85,907,705.88,188.4270903525063,5.512921545952545,17.629339645220156,9.51286904939938,,0,0.0,
120,00:15:17,87,917,689.66,156.4094957037218,5.299671076957729,17.701400036870155,10.397323438937436,,0,0.0,
122,00:15:27,92,927,652.17,129.63240781994892,5.160415549107962,18.446618052961284,10.325093071676193,,0,0.0,
124,00:15:37,89,937,674.16,105.85690985121308,4.736688842164577,21.7424412913114,11.142466201933251,,0,0.0,
126,00:15:47,86,947,697.67,90.75625700058636,4.353224660200612,22.591306848937663,11.490453446586152,,0,0.0,
128,00:15:57,84,957,714.29,86.09068119215003,4.112564096133108,22.597226079538977,11.478792868341428,,0,0.0,
130,00:16:17,82,977,731.71,92.94017340071048,3.924565674070141,22.59655084750949,11.140866397261616,,0,0.0,
132,00:16:32,77,992,779.22,112.67129397948813,3.961640649039742,23.258620368125275,11.685044427185822,,0,0.0,
134,00:16:52,76,1012,789.47,149.07291179411428,4.185362008593428,25.95823024768517,11.31935366294998,,0,0.0,
136,00:17:07,77,1027,779.22,201.56463792146803,4.766776762769419,28.496758283950097,11.255398160665058,,0,0.0,
138,00:17:17,76,1037,789.47,279.94890287915723,5.683291115648094,31.067863482829907,11.110008449821375,,0,0.0,
140,00:17:37,77,1057,779.22,370.7378945468835,6.669085834275542,33.996605653494065,11.16699500989504,,0,0.0,
142,00:17:47,84,1067,714.29,480.4521551316234,7.97471193192457,35.23608970000701,12.385918189127338,,0,0.0,
144,00:18:07,83,1087,722.89,618.5392942682777,9.700494997055063,35.19064209098082,12.95200866936974,,0,0.0,
