Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
402,00:51:00,86,3060,697.67,484.052333472403,4.351498061850882,115.99684197038314,52.73551386351496,start,-0.54,0,BPM
426,00:53:35,54,3215,1111.11,16788.74642665711,8.451255507706515,144.40546229478798,62.01448619443028,stop,0.47,16,BPM
432,00:54:20,60,3260,1000.0,15940.754642100866,11.635144922561675,145.45742135240056,63.28164830537285,start,-0.36,0,BPM
726,01:34:53,55,5693,1090.91,880.6107781385709,3.256130013148796,76.8004823871436,38.8207923459497,stop,0.27,3,BPM
810,01:43:55,66,6235,909.09,4384.402468963637,14.442447430501534,90.9117732572383,37.68541140352671,start,-0.22,0,BPM
858,01:49:10,55,6550,1090.91,2510.8400240192964,13.203434562385882,82.45660912335924,30.218614752351247,stop,30.52,13,BPM
972,02:02:18,71,7338,845.07,6021.9282283205375,16.614060279168935,110.77236849227226,44.19525149947718,start,-0.35,0,BPM
1032,02:08:58,58,7738,1034.48,2160.9684641159497,9.840477857562812,52.11182709935098,34.00350564160064,stop,0.47,3,BPM
2202,04:45:21,78,17121,769.23,205.7252271335989,0.9371369212915074,22.81810407620784,22.36445617492184,start,-0.54,0,BPM
2346,05:01:44,57,18104,1052.63,2505.0716744915667,11.35803586508699,118.32182984279332,43.64809112875009,stop,0.45,4,BPM
2370,05:04:44,68,18284,882.35,6661.59121286626,25.232287244733342,125.1887234259556,41.76378469732955,start,-0.39,0,BPM
2376,05:05:19,55,18319,1090.91,9838.919563719115,36.45650458678733,131.87924946537655,46.17747867450858,stop,0.22,11,BPM
2406,05:08:14,57,18494,1052.63,5873.484653346251,12.467160190691846,100.1833134260412,49.82173695757091,start,-0.29,0,BPM
2466,05:14:46,63,18886,952.38,1658.2734393566443,7.834973013963133,50.98909080001571,31.30260336698884,stop,0.21,8,BPM
2634,05:33:22,54,20002,1111.11,762.859415684726,2.940321006651926,53.99018599406257,42.03418589283572,start,-0.3,0,BPM
2730,05:45:24,54,20724,1111.11,1953.021438996243,21.30392202769928,68.69358101164971,24.724910061535525,stop,0.24,13,BPM
2982,06:13:56,67,22436,895.52,393.3726027324444,12.807825728247536,100.93893106452526,17.72427477575685,start,-0.28,0,BPM
3060,06:23:22,73,23002,821.92,1986.9283805537525,8.468184621650655,97.99190804909374,35.50168006947139,stop,0.34,-12,BPM
3906,08:12:47,65,29567,923.08,1406.221591792499,3.262566838642057,60.82063627501739,33.12442729578083,start,-0.23,0,BPM
3984,08:21:56,64,30116,937.5,898.267385496524,4.57583260422001,62.267257073924526,26.471737412430134,stop,0.32,3,BPM
4026,08:27:36,72,30456,833.33,4918.2679055972285,10.155716330142916,89.7824744190999,33.368640355634405,start,-0.22,0,BPM
4098,08:36:58,70,31018,857.14,483.2204730096629,4.026042057545217,76.0437823823908,20.0987604450765,stop,0.24,-15,BPM
4512,09:27:26,70,34046,857.14,900.8287217627724,10.046581449987004,81.79198936001853,16.7447042496475,start,-0.26,0,BPM
4824,10:05:24,67,36324,895.52,144.10092949453025,1.1552145317315905,21.129453179707927,18.609313610695704,stop,0.21,5,BPM
5166,10:48:30,70,38910,857.14,234.0974731445886,9.438930643098391,54.28473681225239,13.866571976063408,start,-0.23,0,BPM
5376,11:17:39,75,40659,800.0,1630.1758893488372,5.421962390974802,51.327919989504544,26.029731705360724,stop,0.28,-6,BPM
