Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,decrease,kind
1578,03:39:20,72,13160,833.33,385.4782810124255,2.5943013775960924,138.83684065926053,37.98057658802962,start,-0.58,0,BPM
1632,03:46:51,53,13611,1132.08,755.4111815591839,3.418238645638104,65.99322837895981,40.97300255992365,stop,0.25,14,BPM
1758,04:00:49,66,14449,909.09,2580.964739131912,24.689528324293484,73.3546386344018,29.83790942367628,start,-0.43,0,BPM
1902,04:16:46,56,15406,1071.43,240.9931243774776,0.7930484865370233,39.33835012258834,29.87302209317954,stop,0.21,9,BPM
3114,06:46:04,57,24364,1052.63,763.7035587566965,3.216875044913972,43.03430654484768,25.241612468303213,start,-0.56,0,BPM
3300,07:11:57,77,25917,779.22,5420.507351668359,18.79303866774081,106.3665940969998,52.90643533635581,stop,0.49,10,BPM
